,Author,ReviewID,Overall,Content,Date,Author_Location,Unigrams,bigrams
0,Mallory S.,wmHazFNv8VrHs-TLj7n5lg,5.0,My fatherinlaw travels to Chicago frequently for work and he has been raving about Portillos for years  I was pleasantly surprised to discover that it was just down the block from my hotel during a July 2014 trip with my friend and our momsWe came here for a late night snack following a concert  The service was fast the food was inexpensive and our bellies were happy  Portillos knows how to dress up a hot dogGreat anytime food but also really amazing drunk food,2014-07-14,"Minneapolis, MN","['fatherinlaw', 'travel', 'chicago', 'frequent', 'work', 'ha', 'rave', 'portillo', 'year', 'wa', 'pleasantli', 'surpris', 'discov', 'wa', 'block', 'hotel', 'dure', 'juli', 'num', 'trip', 'friend', 'momsw', 'came', 'late', 'night', 'snack', 'follow', 'concert', 'servic', 'wa', 'fast', 'food', 'wa', 'inexpens', 'belli', 'happi', 'portillo', 'know', 'dress', 'hot', 'doggreat', 'anytim', 'food', 'also', 'realli', 'amaz', 'drunk', 'food']","[('fatherinlaw', 'travel'), ('travel', 'chicago'), ('chicago', 'frequent'), ('frequent', 'work'), ('work', 'ha'), ('ha', 'rave'), ('rave', 'portillo'), ('portillo', 'year'), ('year', 'wa'), ('wa', 'pleasantli'), ('pleasantli', 'surpris'), ('surpris', 'discov'), ('discov', 'wa'), ('wa', 'block'), ('block', 'hotel'), ('hotel', 'dure'), ('dure', 'juli'), ('juli', 'num'), ('num', 'trip'), ('trip', 'friend'), ('friend', 'momsw'), ('momsw', 'came'), ('came', 'late'), ('late', 'night'), ('night', 'snack'), ('snack', 'follow'), ('follow', 'concert'), ('concert', 'servic'), ('servic', 'wa'), ('wa', 'fast'), ('fast', 'food'), ('food', 'wa'), ('wa', 'inexpens'), ('inexpens', 'belli'), ('belli', 'happi'), ('happi', 'portillo'), ('portillo', 'know'), ('know', 'dress'), ('dress', 'hot'), ('hot', 'doggreat'), ('doggreat', 'anytim'), ('anytim', 'food'), ('food', 'also'), ('also', 'realli'), ('realli', 'amaz'), ('amaz', 'drunk'), ('drunk', 'food')]"
1,Nadine S.,wjF4w2x20dj_ZlHiC2fulg,4.0,Okay do this place cane highly recommended for their beef sandwiches and hot dogs and I can see why When you enter they have large menu boards posted and depending on what you are getting you get in that line which expedited the process If line gets too long they open another one in your area and someone comes along and starts taking your order writing it on your take out bag Service is quick and friendlyFood was yummy Tables outside inside out back and upstairs so lots of seatingCondiment bar would be my one negative as it should have plastic ware mustard mayo etc and it only had ketchup and napkinsThe hit dogs were excellent and the ribs juicy and tender Prices are phenomenal and for 3 people and 30 you cannot finish all the goodDefinitely will be back here again when in Chicago to try some of their other well known food items and hope they are as goodDont expect a fancy dining experience but if looking for some local comfort food this is the spot,2014-07-16,"Apollo Beach, Tampa Bay, FL","['okay', 'thi', 'place', 'cane', 'highli', 'recommend', 'beef', 'sandwich', 'hot', 'dog', 'see', 'whi', 'enter', 'larg', 'menu', 'board', 'post', 'depend', 'get', 'get', 'line', 'expedit', 'process', 'line', 'get', 'long', 'open', 'anoth', 'one', 'area', 'someon', 'come', 'along', 'start', 'take', 'order', 'write', 'take', 'bag', 'servic', 'quick', 'friendlyfood', 'wa', 'yummi', 'tabl', 'outsid', 'insid', 'back', 'upstair', 'lot', 'seatingcondi', 'bar', 'would', 'one', 'neg', 'plastic', 'ware', 'mustard', 'mayo', 'etc', 'onli', 'ketchup', 'napkinsth', 'hit', 'dog', 'excel', 'rib', 'juici', 'tender', 'price', 'phenomen', 'num', 'peopl', 'num', 'cannot', 'finish', 'gooddefinit', 'back', 'chicago', 'tri', 'well', 'known', 'food', 'item', 'hope', 'gooddont', 'expect', 'fanci', 'dine', 'experi', 'look', 'local', 'comfort', 'food', 'thi', 'spot']","[('okay', 'thi'), ('thi', 'place'), ('place', 'cane'), ('cane', 'highli'), ('highli', 'recommend'), ('recommend', 'beef'), ('beef', 'sandwich'), ('sandwich', 'hot'), ('hot', 'dog'), ('dog', 'see'), ('see', 'whi'), ('whi', 'enter'), ('enter', 'larg'), ('larg', 'menu'), ('menu', 'board'), ('board', 'post'), ('post', 'depend'), ('depend', 'get'), ('get', 'get'), ('get', 'line'), ('line', 'expedit'), ('expedit', 'process'), ('process', 'line'), ('line', 'get'), ('get', 'long'), ('long', 'open'), ('open', 'anoth'), ('anoth', 'one'), ('one', 'area'), ('area', 'someon'), ('someon', 'come'), ('come', 'along'), ('along', 'start'), ('start', 'take'), ('take', 'order'), ('order', 'write'), ('write', 'take'), ('take', 'bag'), ('bag', 'servic'), ('servic', 'quick'), ('quick', 'friendlyfood'), ('friendlyfood', 'wa'), ('wa', 'yummi'), ('yummi', 'tabl'), ('tabl', 'outsid'), ('outsid', 'insid'), ('insid', 'back'), ('back', 'upstair'), ('upstair', 'lot'), ('lot', 'seatingcondi'), ('seatingcondi', 'bar'), ('bar', 'would'), ('would', 'one'), ('one', 'neg'), ('neg', 'plastic'), ('plastic', 'ware'), ('ware', 'mustard'), ('mustard', 'mayo'), ('mayo', 'etc'), ('etc', 'onli'), ('onli', 'ketchup'), ('ketchup', 'napkinsth'), ('napkinsth', 'hit'), ('hit', 'dog'), ('dog', 'excel'), ('excel', 'rib'), ('rib', 'juici'), ('juici', 'tender'), ('tender', 'price'), ('price', 'phenomen'), ('phenomen', 'num'), ('num', 'peopl'), ('peopl', 'num'), ('num', 'cannot'), ('cannot', 'finish'), ('finish', 'gooddefinit'), ('gooddefinit', 'back'), ('back', 'chicago'), ('chicago', 'tri'), ('tri', 'well'), ('well', 'known'), ('known', 'food'), ('food', 'item'), ('item', 'hope'), ('hope', 'gooddont'), ('gooddont', 'expect'), ('expect', 'fanci'), ('fanci', 'dine'), ('dine', 'experi'), ('experi', 'look'), ('look', 'local'), ('local', 'comfort'), ('comfort', 'food'), ('food', 'thi'), ('thi', 'spot')]"
2,Jay Y.,GueoYroWrpN1bx3oR9NgwQ,4.0,In this retro marketplacelike interior Portillos is a great place to hang out with friends or take someone on a casual date Of course whats even more awesome about this place is the famous Chicago hot dogThis was my first place where I have my first Chicago hot dog and I was not disappointed Even though the line was a bit lengthy at first I reached the counter quickly and got my hot dog after only a short period of wait since ordering Portillos classic jumbo hot dog comes with more toppings such as onions and pickles so it was deceptively filling Even if you are in Chicago for a bit I highly recommend you going to Portillos to get a hot dog Both the food and the decor are worth the trip,2014-07-15,"Houston, TX","['thi', 'retro', 'marketplacelik', 'interior', 'portillo', 'great', 'place', 'hang', 'friend', 'take', 'someon', 'casual', 'date', 'cours', 'even', 'awesom', 'thi', 'place', 'famou', 'chicago', 'hot', 'dogthi', 'wa', 'first', 'place', 'first', 'chicago', 'hot', 'dog', 'wa', 'disappoint', 'even', 'though', 'line', 'wa', 'bit', 'lengthi', 'first', 'reach', 'counter', 'quickli', 'got', 'hot', 'dog', 'onli', 'short', 'period', 'wait', 'sinc', 'order', 'portillo', 'classic', 'jumbo', 'hot', 'dog', 'come', 'top', 'onion', 'pickl', 'wa', 'decept', 'fill', 'even', 'chicago', 'bit', 'highli', 'recommend', 'go', 'portillo', 'get', 'hot', 'dog', 'food', 'decor', 'worth', 'trip']","[('thi', 'retro'), ('retro', 'marketplacelik'), ('marketplacelik', 'interior'), ('interior', 'portillo'), ('portillo', 'great'), ('great', 'place'), ('place', 'hang'), ('hang', 'friend'), ('friend', 'take'), ('take', 'someon'), ('someon', 'casual'), ('casual', 'date'), ('date', 'cours'), ('cours', 'even'), ('even', 'awesom'), ('awesom', 'thi'), ('thi', 'place'), ('place', 'famou'), ('famou', 'chicago'), ('chicago', 'hot'), ('hot', 'dogthi'), ('dogthi', 'wa'), ('wa', 'first'), ('first', 'place'), ('place', 'first'), ('first', 'chicago'), ('chicago', 'hot'), ('hot', 'dog'), ('dog', 'wa'), ('wa', 'disappoint'), ('disappoint', 'even'), ('even', 'though'), ('though', 'line'), ('line', 'wa'), ('wa', 'bit'), ('bit', 'lengthi'), ('lengthi', 'first'), ('first', 'reach'), ('reach', 'counter'), ('counter', 'quickli'), ('quickli', 'got'), ('got', 'hot'), ('hot', 'dog'), ('dog', 'onli'), ('onli', 'short'), ('short', 'period'), ('period', 'wait'), ('wait', 'sinc'), ('sinc', 'order'), ('order', 'portillo'), ('portillo', 'classic'), ('classic', 'jumbo'), ('jumbo', 'hot'), ('hot', 'dog'), ('dog', 'come'), ('come', 'top'), ('top', 'onion'), ('onion', 'pickl'), ('pickl', 'wa'), ('wa', 'decept'), ('decept', 'fill'), ('fill', 'even'), ('even', 'chicago'), ('chicago', 'bit'), ('bit', 'highli'), ('highli', 'recommend'), ('recommend', 'go'), ('go', 'portillo'), ('portillo', 'get'), ('get', 'hot'), ('hot', 'dog'), ('dog', 'food'), ('food', 'decor'), ('decor', 'worth'), ('worth', 'trip')]"
3,Ashley T.,tcQlD-cB1krzHZ0tRK_tQg,5.0,This is my favorite hot dog place to go in the cityHowever they have everything Wine salads pasta pizza etc And you can even order spaghetti at the drivethruThe service is quick and they always have an employee who shouts and rhymes your number out when your food is readyThe first time I came here was in the summer time and it had at least 200 people jam packed but the next time I came hardly anyone was there so seasons do matter hereI usually get the chicago dog and the chili cheese dog but chili cheese dog is betterIve also tried their cheeseburger once and it was amazing just like everything elseMy boyfriend and dad love the italian beef sandwich too,2014-07-13,"Chicago, IL","['thi', 'favorit', 'hot', 'dog', 'place', 'go', 'cityhowev', 'everyth', 'wine', 'salad', 'pasta', 'pizza', 'etc', 'even', 'order', 'spaghetti', 'drivethruth', 'servic', 'quick', 'alway', 'employe', 'shout', 'rhyme', 'number', 'food', 'readyth', 'first', 'time', 'came', 'wa', 'summer', 'time', 'least', 'num', 'peopl', 'jam', 'pack', 'next', 'time', 'came', 'hardli', 'anyon', 'wa', 'season', 'matter', 'herei', 'usual', 'get', 'chicago', 'dog', 'chili', 'chees', 'dog', 'chili', 'chees', 'dog', 'better', 'also', 'tri', 'cheeseburg', 'onc', 'wa', 'amaz', 'like', 'everyth', 'elsemi', 'boyfriend', 'dad', 'love', 'italian', 'beef', 'sandwich']","[('thi', 'favorit'), ('favorit', 'hot'), ('hot', 'dog'), ('dog', 'place'), ('place', 'go'), ('go', 'cityhowev'), ('cityhowev', 'everyth'), ('everyth', 'wine'), ('wine', 'salad'), ('salad', 'pasta'), ('pasta', 'pizza'), ('pizza', 'etc'), ('etc', 'even'), ('even', 'order'), ('order', 'spaghetti'), ('spaghetti', 'drivethruth'), ('drivethruth', 'servic'), ('servic', 'quick'), ('quick', 'alway'), ('alway', 'employe'), ('employe', 'shout'), ('shout', 'rhyme'), ('rhyme', 'number'), ('number', 'food'), ('food', 'readyth'), ('readyth', 'first'), ('first', 'time'), ('time', 'came'), ('came', 'wa'), ('wa', 'summer'), ('summer', 'time'), ('time', 'least'), ('least', 'num'), ('num', 'peopl'), ('peopl', 'jam'), ('jam', 'pack'), ('pack', 'next'), ('next', 'time'), ('time', 'came'), ('came', 'hardli'), ('hardli', 'anyon'), ('anyon', 'wa'), ('wa', 'season'), ('season', 'matter'), ('matter', 'herei'), ('herei', 'usual'), ('usual', 'get'), ('get', 'chicago'), ('chicago', 'dog'), ('dog', 'chili'), ('chili', 'chees'), ('chees', 'dog'), ('dog', 'chili'), ('chili', 'chees'), ('chees', 'dog'), ('dog', 'better'), ('better', 'also'), ('also', 'tri'), ('tri', 'cheeseburg'), ('cheeseburg', 'onc'), ('onc', 'wa'), ('wa', 'amaz'), ('amaz', 'like'), ('like', 'everyth'), ('everyth', 'elsemi'), ('elsemi', 'boyfriend'), ('boyfriend', 'dad'), ('dad', 'love'), ('love', 'italian'), ('italian', 'beef'), ('beef', 'sandwich')]"
4,David N.,D5Rmekosn0nxEUNd8j7j4A,4.0,After the debacle that was Hot Dougs I was still in search of an awesome dog  I was told come here for the actual italian beef instead of the dogs  So we opted for one of their combo beef and char grilled sausage  This was a good choice because you get the best of both worlds  You get a grilled sausage topped with their famous chopped beef  We also got a beef n cheddar croissant which was their famous beef on a croissant instead of the traditional bread  You also have the choice of hot or sweet peppers  I had one of each on the sandwiches and my personal preference was the sweet peppersI must say this place is ran very efficiently  They have multiple stations inside this building that you can get just about anything from hotdogs to pasta  You get your food fast and its very affordable  I was not blown away by the sandwich but I did enjoy the fact that it was quality food fast at a fair price,2014-07-09,"Houston, TX","['debacl', 'wa', 'hot', 'doug', 'wa', 'still', 'search', 'awesom', 'dog', 'wa', 'told', 'come', 'actual', 'italian', 'beef', 'instead', 'dog', 'opt', 'one', 'combo', 'beef', 'char', 'grill', 'sausag', 'thi', 'wa', 'good', 'choic', 'becaus', 'get', 'best', 'world', 'get', 'grill', 'sausag', 'top', 'famou', 'chop', 'beef', 'also', 'got', 'beef', 'n', 'cheddar', 'croissant', 'wa', 'famou', 'beef', 'croissant', 'instead', 'tradit', 'bread', 'also', 'choic', 'hot', 'sweet', 'pepper', 'one', 'sandwich', 'person', 'prefer', 'wa', 'sweet', 'peppersi', 'must', 'say', 'thi', 'place', 'ran', 'veri', 'effici', 'multipl', 'station', 'insid', 'thi', 'build', 'get', 'anyth', 'hotdog', 'pasta', 'get', 'food', 'fast', 'veri', 'afford', 'wa', 'blown', 'away', 'sandwich', 'enjoy', 'fact', 'wa', 'qualiti', 'food', 'fast', 'fair', 'price']","[('debacl', 'wa'), ('wa', 'hot'), ('hot', 'doug'), ('doug', 'wa'), ('wa', 'still'), ('still', 'search'), ('search', 'awesom'), ('awesom', 'dog'), ('dog', 'wa'), ('wa', 'told'), ('told', 'come'), ('come', 'actual'), ('actual', 'italian'), ('italian', 'beef'), ('beef', 'instead'), ('instead', 'dog'), ('dog', 'opt'), ('opt', 'one'), ('one', 'combo'), ('combo', 'beef'), ('beef', 'char'), ('char', 'grill'), ('grill', 'sausag'), ('sausag', 'thi'), ('thi', 'wa'), ('wa', 'good'), ('good', 'choic'), ('choic', 'becaus'), ('becaus', 'get'), ('get', 'best'), ('best', 'world'), ('world', 'get'), ('get', 'grill'), ('grill', 'sausag'), ('sausag', 'top'), ('top', 'famou'), ('famou', 'chop'), ('chop', 'beef'), ('beef', 'also'), ('also', 'got'), ('got', 'beef'), ('beef', 'n'), ('n', 'cheddar'), ('cheddar', 'croissant'), ('croissant', 'wa'), ('wa', 'famou'), ('famou', 'beef'), ('beef', 'croissant'), ('croissant', 'instead'), ('instead', 'tradit'), ('tradit', 'bread'), ('bread', 'also'), ('also', 'choic'), ('choic', 'hot'), ('hot', 'sweet'), ('sweet', 'pepper'), ('pepper', 'one'), ('one', 'sandwich'), ('sandwich', 'person'), ('person', 'prefer'), ('prefer', 'wa'), ('wa', 'sweet'), ('sweet', 'peppersi'), ('peppersi', 'must'), ('must', 'say'), ('say', 'thi'), ('thi', 'place'), ('place', 'ran'), ('ran', 'veri'), ('veri', 'effici'), ('effici', 'multipl'), ('multipl', 'station'), ('station', 'insid'), ('insid', 'thi'), ('thi', 'build'), ('build', 'get'), ('get', 'anyth'), ('anyth', 'hotdog'), ('hotdog', 'pasta'), ('pasta', 'get'), ('get', 'food'), ('food', 'fast'), ('fast', 'veri'), ('veri', 'afford'), ('afford', 'wa'), ('wa', 'blown'), ('blown', 'away'), ('away', 'sandwich'), ('sandwich', 'enjoy'), ('enjoy', 'fact'), ('fact', 'wa'), ('wa', 'qualiti'), ('qualiti', 'food'), ('food', 'fast'), ('fast', 'fair'), ('fair', 'price')]"
5,Emily W.,_DHwyDTAUyNQD9pdyCGPXw,5.0,ATTENTION OUTOFTOWNERS OR CHICAGO NEWBIES If you only have one meal to spare in Chicago visit Portillos Walk calmly to the back and order everything your heart desires DO NOT SKIMP OUT this place is cheap and worth every penny What to orderAnything but these are my favsItalian beef order it extra hot if youre feelin friskyBreaded chicken sandwich  I dont know how they made a simple chicken sandwich taste so fing amazing but they did Its quite an experience Much like the cheese sauceChopped salad Cheese fries  my god the cheese is comparable to the high of crack cocaine What to bringChicago attitude  staff can be rude you must stay strongLarge comfy clothes  its time to unbuckle that beltWhat not to bringKetchupPeople that want to share stuff with youSmall children you will be too busy devouring to watch themNOW GO,2014-07-07,"Chicago, IL","['attent', 'outoftown', 'chicago', 'newbi', 'onli', 'one', 'meal', 'spare', 'chicago', 'visit', 'portillo', 'walk', 'calmli', 'back', 'order', 'everyth', 'heart', 'desir', 'skimp', 'thi', 'place', 'cheap', 'worth', 'everi', 'penni', 'orderanyth', 'favsitalian', 'beef', 'order', 'extra', 'hot', 'feelin', 'friskybread', 'chicken', 'sandwich', 'dont', 'know', 'made', 'simpl', 'chicken', 'sandwich', 'tast', 'fing', 'amaz', 'quit', 'experi', 'much', 'like', 'chees', 'saucechop', 'salad', 'chees', 'fri', 'god', 'chees', 'compar', 'high', 'crack', 'cocain', 'bringchicago', 'attitud', 'staff', 'rude', 'must', 'stay', 'stronglarg', 'comfi', 'cloth', 'time', 'unbuckl', 'beltwhat', 'bringketchuppeopl', 'want', 'share', 'stuff', 'yousmal', 'children', 'busi', 'devour', 'watch', 'themnow', 'go']","[('attent', 'outoftown'), ('outoftown', 'chicago'), ('chicago', 'newbi'), ('newbi', 'onli'), ('onli', 'one'), ('one', 'meal'), ('meal', 'spare'), ('spare', 'chicago'), ('chicago', 'visit'), ('visit', 'portillo'), ('portillo', 'walk'), ('walk', 'calmli'), ('calmli', 'back'), ('back', 'order'), ('order', 'everyth'), ('everyth', 'heart'), ('heart', 'desir'), ('desir', 'skimp'), ('skimp', 'thi'), ('thi', 'place'), ('place', 'cheap'), ('cheap', 'worth'), ('worth', 'everi'), ('everi', 'penni'), ('penni', 'orderanyth'), ('orderanyth', 'favsitalian'), ('favsitalian', 'beef'), ('beef', 'order'), ('order', 'extra'), ('extra', 'hot'), ('hot', 'feelin'), ('feelin', 'friskybread'), ('friskybread', 'chicken'), ('chicken', 'sandwich'), ('sandwich', 'dont'), ('dont', 'know'), ('know', 'made'), ('made', 'simpl'), ('simpl', 'chicken'), ('chicken', 'sandwich'), ('sandwich', 'tast'), ('tast', 'fing'), ('fing', 'amaz'), ('amaz', 'quit'), ('quit', 'experi'), ('experi', 'much'), ('much', 'like'), ('like', 'chees'), ('chees', 'saucechop'), ('saucechop', 'salad'), ('salad', 'chees'), ('chees', 'fri'), ('fri', 'god'), ('god', 'chees'), ('chees', 'compar'), ('compar', 'high'), ('high', 'crack'), ('crack', 'cocain'), ('cocain', 'bringchicago'), ('bringchicago', 'attitud'), ('attitud', 'staff'), ('staff', 'rude'), ('rude', 'must'), ('must', 'stay'), ('stay', 'stronglarg'), ('stronglarg', 'comfi'), ('comfi', 'cloth'), ('cloth', 'time'), ('time', 'unbuckl'), ('unbuckl', 'beltwhat'), ('beltwhat', 'bringketchuppeopl'), ('bringketchuppeopl', 'want'), ('want', 'share'), ('share', 'stuff'), ('stuff', 'yousmal'), ('yousmal', 'children'), ('children', 'busi'), ('busi', 'devour'), ('devour', 'watch'), ('watch', 'themnow'), ('themnow', 'go')]"
6,Hylerie D.,2G1HUtIShR0omDY6KU3B4g,5.0,Keep it simple and order the Chicago Beef Hotdog and cheese fries if youre order for the first time Get it Youll love it You will not be disappointed BEST HOT DOG Ive had by far If I ever visited Chicago again I will definitely be back I will try the Buena Park Portillos location in California soon I hope this location will taste the same ,2014-07-07,"Rowland Heights, CA","['keep', 'simpl', 'order', 'chicago', 'beef', 'hotdog', 'chees', 'fri', 'order', 'first', 'time', 'get', 'youll', 'love', 'disappoint', 'best', 'hot', 'dog', 'ive', 'far', 'ever', 'visit', 'chicago', 'definit', 'back', 'tri', 'buena', 'park', 'portillo', 'locat', 'california', 'soon', 'hope', 'thi', 'locat', 'tast']","[('keep', 'simpl'), ('simpl', 'order'), ('order', 'chicago'), ('chicago', 'beef'), ('beef', 'hotdog'), ('hotdog', 'chees'), ('chees', 'fri'), ('fri', 'order'), ('order', 'first'), ('first', 'time'), ('time', 'get'), ('get', 'youll'), ('youll', 'love'), ('love', 'disappoint'), ('disappoint', 'best'), ('best', 'hot'), ('hot', 'dog'), ('dog', 'ive'), ('ive', 'far'), ('far', 'ever'), ('ever', 'visit'), ('visit', 'chicago'), ('chicago', 'definit'), ('definit', 'back'), ('back', 'tri'), ('tri', 'buena'), ('buena', 'park'), ('park', 'portillo'), ('portillo', 'locat'), ('locat', 'california'), ('california', 'soon'), ('soon', 'hope'), ('hope', 'thi'), ('thi', 'locat'), ('locat', 'tast')]"
7,Cynthia X.,FJ3DqHiFRVvlYpyNZJmxqg,4.0,Came here straight from the airport on July 4th and tried their famous Chicago beef hotdog their cheese fries and their chocolate cake shakeThe hot dog came w a poppy seed bun but honestly I dont think the bun was a game changer The hotdog size is quite small but at a little less than 3 it is not a bad deal Also comes with house relish onion cherry pepper and a pickle The pickle is quite large I wasnt sure if you are supposed to eat it as a topping but I ate it separatelyCheese fries are mediocre not really sure what other people are raving about The cheese is a cheese whiz sauce that comes on the side for dippingChocolate cake shake is definitely something different Its on the really sweet side and feels like sipping up an extremely moist chocolate cake with a lot of ice cream Emphasis on the cake over the shake Overall good experience and Happy Fourth,2014-07-07,"Philadelphia, PA","['came', 'straight', 'airport', 'juli', '4th', 'tri', 'famou', 'chicago', 'beef', 'hotdog', 'chees', 'fri', 'chocol', 'cake', 'shaketh', 'hot', 'dog', 'came', 'w', 'poppi', 'seed', 'bun', 'honestli', 'dont', 'think', 'bun', 'wa', 'game', 'changer', 'hotdog', 'size', 'quit', 'small', 'littl', 'less', 'num', 'bad', 'deal', 'also', 'come', 'hous', 'relish', 'onion', 'cherri', 'pepper', 'pickl', 'pickl', 'quit', 'larg', 'wasnt', 'sure', 'suppos', 'eat', 'top', 'ate', 'separatelychees', 'fri', 'mediocr', 'realli', 'sure', 'peopl', 'rave', 'chees', 'chees', 'whiz', 'sauc', 'come', 'side', 'dippingchocol', 'cake', 'shake', 'definit', 'someth', 'differ', 'realli', 'sweet', 'side', 'feel', 'like', 'sip', 'extrem', 'moist', 'chocol', 'cake', 'lot', 'ice', 'cream', 'emphasi', 'cake', 'shake', 'overal', 'good', 'experi', 'happi', 'fourth']","[('came', 'straight'), ('straight', 'airport'), ('airport', 'juli'), ('juli', '4th'), ('4th', 'tri'), ('tri', 'famou'), ('famou', 'chicago'), ('chicago', 'beef'), ('beef', 'hotdog'), ('hotdog', 'chees'), ('chees', 'fri'), ('fri', 'chocol'), ('chocol', 'cake'), ('cake', 'shaketh'), ('shaketh', 'hot'), ('hot', 'dog'), ('dog', 'came'), ('came', 'w'), ('w', 'poppi'), ('poppi', 'seed'), ('seed', 'bun'), ('bun', 'honestli'), ('honestli', 'dont'), ('dont', 'think'), ('think', 'bun'), ('bun', 'wa'), ('wa', 'game'), ('game', 'changer'), ('changer', 'hotdog'), ('hotdog', 'size'), ('size', 'quit'), ('quit', 'small'), ('small', 'littl'), ('littl', 'less'), ('less', 'num'), ('num', 'bad'), ('bad', 'deal'), ('deal', 'also'), ('also', 'come'), ('come', 'hous'), ('hous', 'relish'), ('relish', 'onion'), ('onion', 'cherri'), ('cherri', 'pepper'), ('pepper', 'pickl'), ('pickl', 'pickl'), ('pickl', 'quit'), ('quit', 'larg'), ('larg', 'wasnt'), ('wasnt', 'sure'), ('sure', 'suppos'), ('suppos', 'eat'), ('eat', 'top'), ('top', 'ate'), ('ate', 'separatelychees'), ('separatelychees', 'fri'), ('fri', 'mediocr'), ('mediocr', 'realli'), ('realli', 'sure'), ('sure', 'peopl'), ('peopl', 'rave'), ('rave', 'chees'), ('chees', 'chees'), ('chees', 'whiz'), ('whiz', 'sauc'), ('sauc', 'come'), ('come', 'side'), ('side', 'dippingchocol'), ('dippingchocol', 'cake'), ('cake', 'shake'), ('shake', 'definit'), ('definit', 'someth'), ('someth', 'differ'), ('differ', 'realli'), ('realli', 'sweet'), ('sweet', 'side'), ('side', 'feel'), ('feel', 'like'), ('like', 'sip'), ('sip', 'extrem'), ('extrem', 'moist'), ('moist', 'chocol'), ('chocol', 'cake'), ('cake', 'lot'), ('lot', 'ice'), ('ice', 'cream'), ('cream', 'emphasi'), ('emphasi', 'cake'), ('cake', 'shake'), ('shake', 'overal'), ('overal', 'good'), ('good', 'experi'), ('experi', 'happi'), ('happi', 'fourth')]"
8,Kevin G.,K_1PGuAx0a8YcNqYsA3vOQ,4.0,Stopped in for lunch with my wife Place was packed Lots to choose from Chicago style dogs Italian beef pizza pasta and more Order at a counter and then wait for number to be called Cafeteria style seating You will get cozy with somebody Hot dogs were good but the icing on the lunch was the chocolate cake shake Crumbled chocolate cake blended in a shake and man was it tasty This is definitely a go to place in my book Even if it is just to check out th decor,2014-07-14,"Plymouth, MI","['stop', 'lunch', 'wife', 'place', 'wa', 'pack', 'lot', 'choos', 'chicago', 'style', 'dog', 'italian', 'beef', 'pizza', 'pasta', 'order', 'counter', 'wait', 'number', 'call', 'cafeteria', 'style', 'seat', 'get', 'cozi', 'somebodi', 'hot', 'dog', 'good', 'ice', 'lunch', 'wa', 'chocol', 'cake', 'shake', 'crumbl', 'chocol', 'cake', 'blend', 'shake', 'man', 'wa', 'tasti', 'thi', 'definit', 'go', 'place', 'book', 'even', 'check', 'th', 'decor']","[('stop', 'lunch'), ('lunch', 'wife'), ('wife', 'place'), ('place', 'wa'), ('wa', 'pack'), ('pack', 'lot'), ('lot', 'choos'), ('choos', 'chicago'), ('chicago', 'style'), ('style', 'dog'), ('dog', 'italian'), ('italian', 'beef'), ('beef', 'pizza'), ('pizza', 'pasta'), ('pasta', 'order'), ('order', 'counter'), ('counter', 'wait'), ('wait', 'number'), ('number', 'call'), ('call', 'cafeteria'), ('cafeteria', 'style'), ('style', 'seat'), ('seat', 'get'), ('get', 'cozi'), ('cozi', 'somebodi'), ('somebodi', 'hot'), ('hot', 'dog'), ('dog', 'good'), ('good', 'ice'), ('ice', 'lunch'), ('lunch', 'wa'), ('wa', 'chocol'), ('chocol', 'cake'), ('cake', 'shake'), ('shake', 'crumbl'), ('crumbl', 'chocol'), ('chocol', 'cake'), ('cake', 'blend'), ('blend', 'shake'), ('shake', 'man'), ('man', 'wa'), ('wa', 'tasti'), ('tasti', 'thi'), ('thi', 'definit'), ('definit', 'go'), ('go', 'place'), ('place', 'book'), ('book', 'even'), ('even', 'check'), ('check', 'th'), ('th', 'decor')]"
9,Megan H.,pFKSBvoVgt69A3WB5S16Xw,4.0,To celebrate our oneyearoflivinginChicago anniversary we took my fiancé to Portillos today which made him an official resident of the city Whats not to love Consistently delish Chicago dogs Italian beef burgers fries and shakes at a loveable low price Were going to add this as a must go to place for out of town guests to get some of the Windy City staples,2014-07-13,"Chicago, IL","['celebr', 'oneyearoflivinginchicago', 'anniversari', 'took', 'fiancé', 'portillo', 'today', 'made', 'offici', 'resid', 'citi', 'love', 'consist', 'delish', 'chicago', 'dog', 'italian', 'beef', 'burger', 'fri', 'shake', 'loveabl', 'low', 'price', 'go', 'add', 'thi', 'must', 'go', 'place', 'town', 'guest', 'get', 'windi', 'citi', 'stapl']","[('celebr', 'oneyearoflivinginchicago'), ('oneyearoflivinginchicago', 'anniversari'), ('anniversari', 'took'), ('took', 'fiancé'), ('fiancé', 'portillo'), ('portillo', 'today'), ('today', 'made'), ('made', 'offici'), ('offici', 'resid'), ('resid', 'citi'), ('citi', 'love'), ('love', 'consist'), ('consist', 'delish'), ('delish', 'chicago'), ('chicago', 'dog'), ('dog', 'italian'), ('italian', 'beef'), ('beef', 'burger'), ('burger', 'fri'), ('fri', 'shake'), ('shake', 'loveabl'), ('loveabl', 'low'), ('low', 'price'), ('price', 'go'), ('go', 'add'), ('add', 'thi'), ('thi', 'must'), ('must', 'go'), ('go', 'place'), ('place', 'town'), ('town', 'guest'), ('guest', 'get'), ('get', 'windi'), ('windi', 'citi'), ('citi', 'stapl')]"
