,Author,ReviewID,Overall,Content,Date,Author_Location,Unigrams,bigrams
0,David N.,ySi03L2GaeIZO8UxIrT9kA,5.0,I have only started eating Korean Fried Chicken for a couple of years and in Houston there are only a few places where you can get it  So when I travel I try my best to visit a place that has a high quality productOn this particular trip to Chicago I stalked one of few people I follow Jeffrey Cs Chicago reviews  I basically at least considered anything he rated a 5 star  One of my other good friends Alexander Ws 5 star review confirmed the visitIts a decent ways away from our hotel but luckily it was pretty close to a rail so the trip out wasnt badWhen you walk in its a small restaurant with mainly family style tables and a few spots along the walls of counter space  You order first then look around for a seat  It just works out that by the time you get your food a spot usually opens up  Most of the locals do take it to go which helpsWe ordered 10 of the whole jumbo wings and crisp bbq and seoul sassy as the sauces  I recommend getting both sauces so that you can alternate wing flavors  I enjoyed both a lot you cant go wrong either way because the wings are fried really well  Crispy and not greasy  We also ordered an original bad boy buddha which was their version of bi bim bap we added beef to the bowl  It was good but definitely not a MUST have  So make sure you get the chicken and you wont regret it,2014-07-08,"Houston, TX","['onli', 'start', 'eat', 'korean', 'fri', 'chicken', 'coupl', 'year', 'houston', 'onli', 'place', 'get', 'travel', 'tri', 'best', 'visit', 'place', 'ha', 'high', 'qualiti', 'producton', 'thi', 'particular', 'trip', 'chicago', 'stalk', 'one', 'peopl', 'follow', 'jeffrey', 'cs', 'chicago', 'review', 'basic', 'least', 'consid', 'anyth', 'rate', 'num', 'star', 'one', 'good', 'friend', 'alexand', 'ws', 'num', 'star', 'review', 'confirm', 'visitit', 'decent', 'way', 'away', 'hotel', 'luckili', 'wa', 'pretti', 'close', 'rail', 'trip', 'wasnt', 'badwhen', 'walk', 'small', 'restaur', 'mainli', 'famili', 'style', 'tabl', 'spot', 'along', 'wall', 'counter', 'space', 'order', 'first', 'look', 'around', 'seat', 'work', 'time', 'get', 'food', 'spot', 'usual', 'open', 'local', 'take', 'go', 'helpsw', 'order', 'num', 'whole', 'jumbo', 'wing', 'crisp', 'bbq', 'seoul', 'sassi', 'sauc', 'recommend', 'get', 'sauc', 'altern', 'wing', 'flavor', 'enjoy', 'lot', 'cant', 'go', 'wrong', 'either', 'way', 'becaus', 'wing', 'fri', 'realli', 'well', 'crispi', 'greasi', 'also', 'order', 'origin', 'bad', 'boy', 'buddha', 'wa', 'version', 'bi', 'bim', 'bap', 'ad', 'beef', 'bowl', 'wa', 'good', 'definit', 'must', 'make', 'sure', 'get', 'chicken', 'wont', 'regret']","[('onli', 'start'), ('start', 'eat'), ('eat', 'korean'), ('korean', 'fri'), ('fri', 'chicken'), ('chicken', 'coupl'), ('coupl', 'year'), ('year', 'houston'), ('houston', 'onli'), ('onli', 'place'), ('place', 'get'), ('get', 'travel'), ('travel', 'tri'), ('tri', 'best'), ('best', 'visit'), ('visit', 'place'), ('place', 'ha'), ('ha', 'high'), ('high', 'qualiti'), ('qualiti', 'producton'), ('producton', 'thi'), ('thi', 'particular'), ('particular', 'trip'), ('trip', 'chicago'), ('chicago', 'stalk'), ('stalk', 'one'), ('one', 'peopl'), ('peopl', 'follow'), ('follow', 'jeffrey'), ('jeffrey', 'cs'), ('cs', 'chicago'), ('chicago', 'review'), ('review', 'basic'), ('basic', 'least'), ('least', 'consid'), ('consid', 'anyth'), ('anyth', 'rate'), ('rate', 'num'), ('num', 'star'), ('star', 'one'), ('one', 'good'), ('good', 'friend'), ('friend', 'alexand'), ('alexand', 'ws'), ('ws', 'num'), ('num', 'star'), ('star', 'review'), ('review', 'confirm'), ('confirm', 'visitit'), ('visitit', 'decent'), ('decent', 'way'), ('way', 'away'), ('away', 'hotel'), ('hotel', 'luckili'), ('luckili', 'wa'), ('wa', 'pretti'), ('pretti', 'close'), ('close', 'rail'), ('rail', 'trip'), ('trip', 'wasnt'), ('wasnt', 'badwhen'), ('badwhen', 'walk'), ('walk', 'small'), ('small', 'restaur'), ('restaur', 'mainli'), ('mainli', 'famili'), ('famili', 'style'), ('style', 'tabl'), ('tabl', 'spot'), ('spot', 'along'), ('along', 'wall'), ('wall', 'counter'), ('counter', 'space'), ('space', 'order'), ('order', 'first'), ('first', 'look'), ('look', 'around'), ('around', 'seat'), ('seat', 'work'), ('work', 'time'), ('time', 'get'), ('get', 'food'), ('food', 'spot'), ('spot', 'usual'), ('usual', 'open'), ('open', 'local'), ('local', 'take'), ('take', 'go'), ('go', 'helpsw'), ('helpsw', 'order'), ('order', 'num'), ('num', 'whole'), ('whole', 'jumbo'), ('jumbo', 'wing'), ('wing', 'crisp'), ('crisp', 'bbq'), ('bbq', 'seoul'), ('seoul', 'sassi'), ('sassi', 'sauc'), ('sauc', 'recommend'), ('recommend', 'get'), ('get', 'sauc'), ('sauc', 'altern'), ('altern', 'wing'), ('wing', 'flavor'), ('flavor', 'enjoy'), ('enjoy', 'lot'), ('lot', 'cant'), ('cant', 'go'), ('go', 'wrong'), ('wrong', 'either'), ('either', 'way'), ('way', 'becaus'), ('becaus', 'wing'), ('wing', 'fri'), ('fri', 'realli'), ('realli', 'well'), ('well', 'crispi'), ('crispi', 'greasi'), ('greasi', 'also'), ('also', 'order'), ('order', 'origin'), ('origin', 'bad'), ('bad', 'boy'), ('boy', 'buddha'), ('buddha', 'wa'), ('wa', 'version'), ('version', 'bi'), ('bi', 'bim'), ('bim', 'bap'), ('bap', 'ad'), ('ad', 'beef'), ('beef', 'bowl'), ('bowl', 'wa'), ('wa', 'good'), ('good', 'definit'), ('definit', 'must'), ('must', 'make'), ('make', 'sure'), ('sure', 'get'), ('get', 'chicken'), ('chicken', 'wont'), ('wont', 'regret')]"
1,Brett D.,WT6MV1kC2Serd8KAe3sw_w,5.0,Hot Wings so good it hurts Yes theyre Korean style and not your classic Hooters or BDub style wings But I personally guarantee you wont miss Buffalos or Tits at Crisp These wings put all wings to shameBetter quality More meaty Superior flavor Go half order order of the Seoul Sassy and half order of the Buffalo for the ultimate sweet tangy spicy savory satiation experienceIm having a Pavlovs Dog moment now just thinking about themCrisp is the ultimate fried chickenNo really And if youre just plain cuckoo and not into wings they even do awesome bowls bi bim bop and a KILLER Korean Burrito Did I say Korean Burrito I did Wrap beefy bulgogi rice and veggies in a flour tortilla and douce with creamy Atomic sauce Make mouth smileCrisp rocks   I cant really guarantee you wont miss tits bring your own,2014-07-06,"Chicago, IL","['hot', 'wing', 'good', 'hurt', 'ye', 'theyr', 'korean', 'style', 'classic', 'hooter', 'bdub', 'style', 'wing', 'person', 'guarante', 'wont', 'miss', 'buffalo', 'tit', 'crisp', 'wing', 'put', 'wing', 'shamebett', 'qualiti', 'meati', 'superior', 'flavor', 'go', 'half', 'order', 'order', 'seoul', 'sassi', 'half', 'order', 'buffalo', 'ultim', 'sweet', 'tangi', 'spici', 'savori', 'satiat', 'experienceim', 'pavlov', 'dog', 'moment', 'think', 'themcrisp', 'ultim', 'fri', 'chickenno', 'realli', 'plain', 'cuckoo', 'wing', 'even', 'awesom', 'bowl', 'bi', 'bim', 'bop', 'killer', 'korean', 'burrito', 'say', 'korean', 'burrito', 'wrap', 'beefi', 'bulgogi', 'rice', 'veggi', 'flour', 'tortilla', 'douc', 'creami', 'atom', 'sauc', 'make', 'mouth', 'smilecrisp', 'rock', 'cant', 'realli', 'guarante', 'wont', 'miss', 'tit', 'bring']","[('hot', 'wing'), ('wing', 'good'), ('good', 'hurt'), ('hurt', 'ye'), ('ye', 'theyr'), ('theyr', 'korean'), ('korean', 'style'), ('style', 'classic'), ('classic', 'hooter'), ('hooter', 'bdub'), ('bdub', 'style'), ('style', 'wing'), ('wing', 'person'), ('person', 'guarante'), ('guarante', 'wont'), ('wont', 'miss'), ('miss', 'buffalo'), ('buffalo', 'tit'), ('tit', 'crisp'), ('crisp', 'wing'), ('wing', 'put'), ('put', 'wing'), ('wing', 'shamebett'), ('shamebett', 'qualiti'), ('qualiti', 'meati'), ('meati', 'superior'), ('superior', 'flavor'), ('flavor', 'go'), ('go', 'half'), ('half', 'order'), ('order', 'order'), ('order', 'seoul'), ('seoul', 'sassi'), ('sassi', 'half'), ('half', 'order'), ('order', 'buffalo'), ('buffalo', 'ultim'), ('ultim', 'sweet'), ('sweet', 'tangi'), ('tangi', 'spici'), ('spici', 'savori'), ('savori', 'satiat'), ('satiat', 'experienceim'), ('experienceim', 'pavlov'), ('pavlov', 'dog'), ('dog', 'moment'), ('moment', 'think'), ('think', 'themcrisp'), ('themcrisp', 'ultim'), ('ultim', 'fri'), ('fri', 'chickenno'), ('chickenno', 'realli'), ('realli', 'plain'), ('plain', 'cuckoo'), ('cuckoo', 'wing'), ('wing', 'even'), ('even', 'awesom'), ('awesom', 'bowl'), ('bowl', 'bi'), ('bi', 'bim'), ('bim', 'bop'), ('bop', 'killer'), ('killer', 'korean'), ('korean', 'burrito'), ('burrito', 'say'), ('say', 'korean'), ('korean', 'burrito'), ('burrito', 'wrap'), ('wrap', 'beefi'), ('beefi', 'bulgogi'), ('bulgogi', 'rice'), ('rice', 'veggi'), ('veggi', 'flour'), ('flour', 'tortilla'), ('tortilla', 'douc'), ('douc', 'creami'), ('creami', 'atom'), ('atom', 'sauc'), ('sauc', 'make'), ('make', 'mouth'), ('mouth', 'smilecrisp'), ('smilecrisp', 'rock'), ('rock', 'cant'), ('cant', 'realli'), ('realli', 'guarante'), ('guarante', 'wont'), ('wont', 'miss'), ('miss', 'tit'), ('tit', 'bring')]"
2,Matt D.,G7f3yZtnruNmyGhDrxVYwQ,5.0,Lunch for two consisted of the ChiTown Chicken Burrito split in half with 5 gigantic wings which were marinated in Buds Buffalo saucy My lady and I were very pleased with the food plus the environment of the place was filled with good vibes We will definitely be back HighFive Crisp HighFive,2014-07-06,"Chicago, IL","['lunch', 'two', 'consist', 'chitown', 'chicken', 'burrito', 'split', 'half', 'num', 'gigant', 'wing', 'marin', 'bud', 'buffalo', 'sauci', 'ladi', 'veri', 'pleas', 'food', 'plu', 'environ', 'place', 'wa', 'fill', 'good', 'vibe', 'definit', 'back', 'highfiv', 'crisp', 'highfiv']","[('lunch', 'two'), ('two', 'consist'), ('consist', 'chitown'), ('chitown', 'chicken'), ('chicken', 'burrito'), ('burrito', 'split'), ('split', 'half'), ('half', 'num'), ('num', 'gigant'), ('gigant', 'wing'), ('wing', 'marin'), ('marin', 'bud'), ('bud', 'buffalo'), ('buffalo', 'sauci'), ('sauci', 'ladi'), ('ladi', 'veri'), ('veri', 'pleas'), ('pleas', 'food'), ('food', 'plu'), ('plu', 'environ'), ('environ', 'place'), ('place', 'wa'), ('wa', 'fill'), ('fill', 'good'), ('good', 'vibe'), ('vibe', 'definit'), ('definit', 'back'), ('back', 'highfiv'), ('highfiv', 'crisp'), ('crisp', 'highfiv')]"
3,april w.,3mT4kXHfZsKiZYR4UlcyNw,4.0,Pretty good chicken They come in huge pieces also Bibimbap also isnt too bad Its funny cause they call them Buddha bowls and Buddha sauceits a pretty small restaurant so it can get crowded in weekends,2014-07-15,"Evanston, IL","['pretti', 'good', 'chicken', 'come', 'huge', 'piec', 'also', 'bibimbap', 'also', 'isnt', 'bad', 'funni', 'caus', 'call', 'buddha', 'bowl', 'buddha', 'sauceit', 'pretti', 'small', 'restaur', 'get', 'crowd', 'weekend']","[('pretti', 'good'), ('good', 'chicken'), ('chicken', 'come'), ('come', 'huge'), ('huge', 'piec'), ('piec', 'also'), ('also', 'bibimbap'), ('bibimbap', 'also'), ('also', 'isnt'), ('isnt', 'bad'), ('bad', 'funni'), ('funni', 'caus'), ('caus', 'call'), ('call', 'buddha'), ('buddha', 'bowl'), ('bowl', 'buddha'), ('buddha', 'sauceit'), ('sauceit', 'pretti'), ('pretti', 'small'), ('small', 'restaur'), ('restaur', 'get'), ('get', 'crowd'), ('crowd', 'weekend')]"
4,Shane R.,jXmCAkLI5Ite1wlA2_E3VA,5.0,I absolutely loved this joint The food itself was outstanding Seoul Sassy wings were delicious Staff was great in helping an out of towner with the better meal for 2 Wanted to post about the ambiance that I noticed tho which was a huge bonus I like laid back restaurants I like 90s music I like the 2 cashiers discussing Rocky 4 while behind the register while the movie was on the TV inside restaurant I love random things like that This place had it Keep doing what youre doing fellas Great job from this Cali kid,2014-07-14,"Stockton, CA","['absolut', 'love', 'thi', 'joint', 'food', 'wa', 'outstand', 'seoul', 'sassi', 'wing', 'delici', 'staff', 'wa', 'great', 'help', 'towner', 'better', 'meal', 'num', 'want', 'post', 'ambianc', 'notic', 'tho', 'wa', 'huge', 'bonu', 'like', 'laid', 'back', 'restaur', 'like', 'num', 'music', 'like', 'num', 'cashier', 'discuss', 'rocki', 'num', 'behind', 'regist', 'movi', 'wa', 'tv', 'insid', 'restaur', 'love', 'random', 'thing', 'like', 'thi', 'place', 'keep', 'fella', 'great', 'job', 'thi', 'cali', 'kid']","[('absolut', 'love'), ('love', 'thi'), ('thi', 'joint'), ('joint', 'food'), ('food', 'wa'), ('wa', 'outstand'), ('outstand', 'seoul'), ('seoul', 'sassi'), ('sassi', 'wing'), ('wing', 'delici'), ('delici', 'staff'), ('staff', 'wa'), ('wa', 'great'), ('great', 'help'), ('help', 'towner'), ('towner', 'better'), ('better', 'meal'), ('meal', 'num'), ('num', 'want'), ('want', 'post'), ('post', 'ambianc'), ('ambianc', 'notic'), ('notic', 'tho'), ('tho', 'wa'), ('wa', 'huge'), ('huge', 'bonu'), ('bonu', 'like'), ('like', 'laid'), ('laid', 'back'), ('back', 'restaur'), ('restaur', 'like'), ('like', 'num'), ('num', 'music'), ('music', 'like'), ('like', 'num'), ('num', 'cashier'), ('cashier', 'discuss'), ('discuss', 'rocki'), ('rocki', 'num'), ('num', 'behind'), ('behind', 'regist'), ('regist', 'movi'), ('movi', 'wa'), ('wa', 'tv'), ('tv', 'insid'), ('insid', 'restaur'), ('restaur', 'love'), ('love', 'random'), ('random', 'thing'), ('thing', 'like'), ('like', 'thi'), ('thi', 'place'), ('place', 'keep'), ('keep', 'fella'), ('fella', 'great'), ('great', 'job'), ('job', 'thi'), ('thi', 'cali'), ('cali', 'kid')]"
5,Yuki Y.,zHjYORxq_pSLNvtuHZp3kA,4.0,Okay first for full disclosure Im tough on any version of Korean wings after having them many times in Seoul over the last three years Im a bit of a purist when it comes to Korean food I would skip most of the menu and go straight to the Sassy Wings They arent exactly what is served in Korea but they are very good They are more of a teriyaki version and not true Korean style but the perfectly fried skin was so good I easily forgave them,2014-07-13,"Chicago, IL","['okay', 'first', 'full', 'disclosur', 'im', 'tough', 'ani', 'version', 'korean', 'wing', 'mani', 'time', 'seoul', 'last', 'three', 'year', 'im', 'bit', 'purist', 'come', 'korean', 'food', 'would', 'skip', 'menu', 'go', 'straight', 'sassi', 'wing', 'arent', 'exactli', 'serv', 'korea', 'veri', 'good', 'teriyaki', 'version', 'true', 'korean', 'style', 'perfectli', 'fri', 'skin', 'wa', 'good', 'easili', 'forgav']","[('okay', 'first'), ('first', 'full'), ('full', 'disclosur'), ('disclosur', 'im'), ('im', 'tough'), ('tough', 'ani'), ('ani', 'version'), ('version', 'korean'), ('korean', 'wing'), ('wing', 'mani'), ('mani', 'time'), ('time', 'seoul'), ('seoul', 'last'), ('last', 'three'), ('three', 'year'), ('year', 'im'), ('im', 'bit'), ('bit', 'purist'), ('purist', 'come'), ('come', 'korean'), ('korean', 'food'), ('food', 'would'), ('would', 'skip'), ('skip', 'menu'), ('menu', 'go'), ('go', 'straight'), ('straight', 'sassi'), ('sassi', 'wing'), ('wing', 'arent'), ('arent', 'exactli'), ('exactli', 'serv'), ('serv', 'korea'), ('korea', 'veri'), ('veri', 'good'), ('good', 'teriyaki'), ('teriyaki', 'version'), ('version', 'true'), ('true', 'korean'), ('korean', 'style'), ('style', 'perfectli'), ('perfectli', 'fri'), ('fri', 'skin'), ('skin', 'wa'), ('wa', 'good'), ('good', 'easili'), ('easili', 'forgav')]"
6,Alicja K.,xYfHnpUPgx63h5yW1alBmw,4.0,Im not a fried chicken fan But my friend convinced me to come here and I really enjoyed it,2014-07-13,"Chicago, IL","['im', 'fri', 'chicken', 'fan', 'friend', 'convinc', 'come', 'realli', 'enjoy']","[('im', 'fri'), ('fri', 'chicken'), ('chicken', 'fan'), ('fan', 'friend'), ('friend', 'convinc'), ('convinc', 'come'), ('come', 'realli'), ('realli', 'enjoy')]"
7,Asper K.,KqKw7NR_5qOw_lCl2M0GWw,2.0,Pretend Korean food  Really just a bunch of fried chicken  Also they like putting eggs on stuff,2014-07-07,"Chicago, IL","['pretend', 'korean', 'food', 'realli', 'bunch', 'fri', 'chicken', 'also', 'like', 'put', 'egg', 'stuff']","[('pretend', 'korean'), ('korean', 'food'), ('food', 'realli'), ('realli', 'bunch'), ('bunch', 'fri'), ('fri', 'chicken'), ('chicken', 'also'), ('also', 'like'), ('like', 'put'), ('put', 'egg'), ('egg', 'stuff')]"
8,Princesses M.,fjN6qcUImAbOyfjDXc2ydw,3.0,The chicken here is really goodsometimes Can be overcooked and somewhat dry even with sauce The sides need a total revamp preferably items that are NOT fried The delivery is awesome Those guys should be paid well,2014-07-11,"Chicago, IL","['chicken', 'realli', 'goodsometim', 'overcook', 'somewhat', 'dri', 'even', 'sauc', 'side', 'need', 'total', 'revamp', 'prefer', 'item', 'fri', 'deliveri', 'awesom', 'guy', 'paid', 'well']","[('chicken', 'realli'), ('realli', 'goodsometim'), ('goodsometim', 'overcook'), ('overcook', 'somewhat'), ('somewhat', 'dri'), ('dri', 'even'), ('even', 'sauc'), ('sauc', 'side'), ('side', 'need'), ('need', 'total'), ('total', 'revamp'), ('revamp', 'prefer'), ('prefer', 'item'), ('item', 'fri'), ('fri', 'deliveri'), ('deliveri', 'awesom'), ('awesom', 'guy'), ('guy', 'paid'), ('paid', 'well')]"
9,Mei K.,2qGhLk0RBIm08YXIBkJtAQ,5.0,This place is good How good you ask Well one rainy evening I ordered my 10 wings in Seoul Sassy togo Worried that my delicious crispy fried chicken wings would get too moist in the carryout box I raced down Belmont towards Lake Shore Drive so I could get home ASAP and chow down Long story short I made a right turn too quickly and got a red light camera ticketwhatevers chicken was still crisp and perfect when I got homeI dont really care for their other flavors and highly recommend Seoul Sassy which is a sweet soy and garlic sauce Their rice bowls are huge and tasty Oh I love their atomic sauce,2014-06-18,"Chicago, IL","['thi', 'place', 'good', 'good', 'ask', 'well', 'one', 'raini', 'even', 'order', 'num', 'wing', 'seoul', 'sassi', 'togo', 'worri', 'delici', 'crispi', 'fri', 'chicken', 'wing', 'would', 'get', 'moist', 'carryout', 'box', 'race', 'belmont', 'toward', 'lake', 'shore', 'drive', 'could', 'get', 'home', 'asap', 'chow', 'long', 'stori', 'short', 'made', 'right', 'turn', 'quickli', 'got', 'red', 'light', 'camera', 'ticketwhatev', 'chicken', 'wa', 'still', 'crisp', 'perfect', 'got', 'homei', 'dont', 'realli', 'care', 'flavor', 'highli', 'recommend', 'seoul', 'sassi', 'sweet', 'soy', 'garlic', 'sauc', 'rice', 'bowl', 'huge', 'tasti', 'oh', 'love', 'atom', 'sauc']","[('thi', 'place'), ('place', 'good'), ('good', 'good'), ('good', 'ask'), ('ask', 'well'), ('well', 'one'), ('one', 'raini'), ('raini', 'even'), ('even', 'order'), ('order', 'num'), ('num', 'wing'), ('wing', 'seoul'), ('seoul', 'sassi'), ('sassi', 'togo'), ('togo', 'worri'), ('worri', 'delici'), ('delici', 'crispi'), ('crispi', 'fri'), ('fri', 'chicken'), ('chicken', 'wing'), ('wing', 'would'), ('would', 'get'), ('get', 'moist'), ('moist', 'carryout'), ('carryout', 'box'), ('box', 'race'), ('race', 'belmont'), ('belmont', 'toward'), ('toward', 'lake'), ('lake', 'shore'), ('shore', 'drive'), ('drive', 'could'), ('could', 'get'), ('get', 'home'), ('home', 'asap'), ('asap', 'chow'), ('chow', 'long'), ('long', 'stori'), ('stori', 'short'), ('short', 'made'), ('made', 'right'), ('right', 'turn'), ('turn', 'quickli'), ('quickli', 'got'), ('got', 'red'), ('red', 'light'), ('light', 'camera'), ('camera', 'ticketwhatev'), ('ticketwhatev', 'chicken'), ('chicken', 'wa'), ('wa', 'still'), ('still', 'crisp'), ('crisp', 'perfect'), ('perfect', 'got'), ('got', 'homei'), ('homei', 'dont'), ('dont', 'realli'), ('realli', 'care'), ('care', 'flavor'), ('flavor', 'highli'), ('highli', 'recommend'), ('recommend', 'seoul'), ('seoul', 'sassi'), ('sassi', 'sweet'), ('sweet', 'soy'), ('soy', 'garlic'), ('garlic', 'sauc'), ('sauc', 'rice'), ('rice', 'bowl'), ('bowl', 'huge'), ('huge', 'tasti'), ('tasti', 'oh'), ('oh', 'love'), ('love', 'atom'), ('atom', 'sauc')]"
