,Author,ReviewID,Overall,Content,Date,Author_Location,Unigrams,bigrams
0,Erica L.,0n_gjswas4QuvC-NEkJjYA,5.0,Cafe Iberico has graciously hosted our large group of 20 or more when we celebrate the end of the residency year every June  Ive gone every year since I graduated from our residency program in 2008  We usually go around 430pm on a Thursday so its still early and not as crowded  Of course we all just order a bunch of small plates and share  The price ends up reasonable even with a large partyEverything is good here but the dishes that I love the most are the garlic potatoes spicy potatoes in tomato sauce the baked goat cheese the bread it comes with to dip is toasted and yummy the grilled squid and the grilled shrimp the grilled mushrooms and the steamed mussels  Even though Im not a fan of scallops the grilled scallops with saffron sauce was delicious  We usually dont order the paella since it takes a while to make but I remember it being good when we did order it  Also we usually dont order dessert since everyone is full by then but the servers have allowed us to bring our own celebratory sheet cake in the pastThis year we had a smaller group than usual making for a more intimate setting  The TVs in the restaurant were also broadcasting the World Cup which was exciting  Cant wait for next year Café Iberico,2014-06-29,"Chicago, IL","['cafe', 'iberico', 'ha', 'gracious', 'host', 'larg', 'group', 'num', 'celebr', 'end', 'resid', 'year', 'everi', 'june', 'ive', 'gone', 'everi', 'year', 'sinc', 'graduat', 'resid', 'program', 'num', 'usual', 'go', 'around', '430pm', 'thursday', 'still', 'earli', 'crowd', 'cours', 'order', 'bunch', 'small', 'plate', 'share', 'price', 'end', 'reason', 'even', 'larg', 'partyeveryth', 'good', 'dish', 'love', 'garlic', 'potato', 'spici', 'potato', 'tomato', 'sauc', 'bake', 'goat', 'chees', 'bread', 'come', 'dip', 'toast', 'yummi', 'grill', 'squid', 'grill', 'shrimp', 'grill', 'mushroom', 'steam', 'mussel', 'even', 'though', 'im', 'fan', 'scallop', 'grill', 'scallop', 'saffron', 'sauc', 'wa', 'delici', 'usual', 'dont', 'order', 'paella', 'sinc', 'take', 'make', 'rememb', 'good', 'order', 'also', 'usual', 'dont', 'order', 'dessert', 'sinc', 'everyon', 'full', 'server', 'allow', 'us', 'bring', 'celebratori', 'sheet', 'cake', 'pastthi', 'year', 'smaller', 'group', 'usual', 'make', 'intim', 'set', 'tv', 'restaur', 'also', 'broadcast', 'world', 'cup', 'wa', 'excit', 'cant', 'wait', 'next', 'year', 'café', 'iberico']","[('cafe', 'iberico'), ('iberico', 'ha'), ('ha', 'gracious'), ('gracious', 'host'), ('host', 'larg'), ('larg', 'group'), ('group', 'num'), ('num', 'celebr'), ('celebr', 'end'), ('end', 'resid'), ('resid', 'year'), ('year', 'everi'), ('everi', 'june'), ('june', 'ive'), ('ive', 'gone'), ('gone', 'everi'), ('everi', 'year'), ('year', 'sinc'), ('sinc', 'graduat'), ('graduat', 'resid'), ('resid', 'program'), ('program', 'num'), ('num', 'usual'), ('usual', 'go'), ('go', 'around'), ('around', '430pm'), ('430pm', 'thursday'), ('thursday', 'still'), ('still', 'earli'), ('earli', 'crowd'), ('crowd', 'cours'), ('cours', 'order'), ('order', 'bunch'), ('bunch', 'small'), ('small', 'plate'), ('plate', 'share'), ('share', 'price'), ('price', 'end'), ('end', 'reason'), ('reason', 'even'), ('even', 'larg'), ('larg', 'partyeveryth'), ('partyeveryth', 'good'), ('good', 'dish'), ('dish', 'love'), ('love', 'garlic'), ('garlic', 'potato'), ('potato', 'spici'), ('spici', 'potato'), ('potato', 'tomato'), ('tomato', 'sauc'), ('sauc', 'bake'), ('bake', 'goat'), ('goat', 'chees'), ('chees', 'bread'), ('bread', 'come'), ('come', 'dip'), ('dip', 'toast'), ('toast', 'yummi'), ('yummi', 'grill'), ('grill', 'squid'), ('squid', 'grill'), ('grill', 'shrimp'), ('shrimp', 'grill'), ('grill', 'mushroom'), ('mushroom', 'steam'), ('steam', 'mussel'), ('mussel', 'even'), ('even', 'though'), ('though', 'im'), ('im', 'fan'), ('fan', 'scallop'), ('scallop', 'grill'), ('grill', 'scallop'), ('scallop', 'saffron'), ('saffron', 'sauc'), ('sauc', 'wa'), ('wa', 'delici'), ('delici', 'usual'), ('usual', 'dont'), ('dont', 'order'), ('order', 'paella'), ('paella', 'sinc'), ('sinc', 'take'), ('take', 'make'), ('make', 'rememb'), ('rememb', 'good'), ('good', 'order'), ('order', 'also'), ('also', 'usual'), ('usual', 'dont'), ('dont', 'order'), ('order', 'dessert'), ('dessert', 'sinc'), ('sinc', 'everyon'), ('everyon', 'full'), ('full', 'server'), ('server', 'allow'), ('allow', 'us'), ('us', 'bring'), ('bring', 'celebratori'), ('celebratori', 'sheet'), ('sheet', 'cake'), ('cake', 'pastthi'), ('pastthi', 'year'), ('year', 'smaller'), ('smaller', 'group'), ('group', 'usual'), ('usual', 'make'), ('make', 'intim'), ('intim', 'set'), ('set', 'tv'), ('tv', 'restaur'), ('restaur', 'also'), ('also', 'broadcast'), ('broadcast', 'world'), ('world', 'cup'), ('cup', 'wa'), ('wa', 'excit'), ('excit', 'cant'), ('cant', 'wait'), ('wait', 'next'), ('next', 'year'), ('year', 'café'), ('café', 'iberico')]"
1,Reggie R.,-5jzL5eKluBcB2uFdaQceA,3.0,My friends and I got dinner at Cafe Iberico for our second round of tapas Tuesdays last night It was good but Id leave it at that Im a huge ba ba reeba fan and I would venture to say that every dish we ordered is better done at cafe ba ba reeba than at iberico We ordered white sangria which definitely didnt live up to expectations On a positive note I loved the croquetasmelt in your mouth And the prices were great Like I said before nothing we ordered was bad just not my favorite tapas restaurant ever,2014-07-02,"Chicago, IL","['friend', 'got', 'dinner', 'cafe', 'iberico', 'second', 'round', 'tapa', 'tuesday', 'last', 'night', 'wa', 'good', 'id', 'leav', 'im', 'huge', 'ba', 'ba', 'reeba', 'fan', 'would', 'ventur', 'say', 'everi', 'dish', 'order', 'better', 'done', 'cafe', 'ba', 'ba', 'reeba', 'iberico', 'order', 'white', 'sangria', 'definit', 'didnt', 'live', 'expect', 'posit', 'note', 'love', 'croquetasmelt', 'mouth', 'price', 'great', 'like', 'said', 'befor', 'noth', 'order', 'wa', 'bad', 'favorit', 'tapa', 'restaur', 'ever']","[('friend', 'got'), ('got', 'dinner'), ('dinner', 'cafe'), ('cafe', 'iberico'), ('iberico', 'second'), ('second', 'round'), ('round', 'tapa'), ('tapa', 'tuesday'), ('tuesday', 'last'), ('last', 'night'), ('night', 'wa'), ('wa', 'good'), ('good', 'id'), ('id', 'leav'), ('leav', 'im'), ('im', 'huge'), ('huge', 'ba'), ('ba', 'ba'), ('ba', 'reeba'), ('reeba', 'fan'), ('fan', 'would'), ('would', 'ventur'), ('ventur', 'say'), ('say', 'everi'), ('everi', 'dish'), ('dish', 'order'), ('order', 'better'), ('better', 'done'), ('done', 'cafe'), ('cafe', 'ba'), ('ba', 'ba'), ('ba', 'reeba'), ('reeba', 'iberico'), ('iberico', 'order'), ('order', 'white'), ('white', 'sangria'), ('sangria', 'definit'), ('definit', 'didnt'), ('didnt', 'live'), ('live', 'expect'), ('expect', 'posit'), ('posit', 'note'), ('note', 'love'), ('love', 'croquetasmelt'), ('croquetasmelt', 'mouth'), ('mouth', 'price'), ('price', 'great'), ('great', 'like'), ('like', 'said'), ('said', 'befor'), ('befor', 'noth'), ('noth', 'order'), ('order', 'wa'), ('wa', 'bad'), ('bad', 'favorit'), ('favorit', 'tapa'), ('tapa', 'restaur'), ('restaur', 'ever')]"
2,Fernando C.,7D1lpj3hcmuhCvHmynH04A,1.0,Im appalled So many reviews such good ratingsI went on a weeknight and it was empty I ordered the better reviewed items baked goat cheese toasts grilled calamari gazpacho ALL terrible I dont get it The service the ambience the food ALL bad What is going on here,2014-07-01,"Playa del Rey, CA","['im', 'appal', 'mani', 'review', 'good', 'ratingsi', 'went', 'weeknight', 'wa', 'empti', 'order', 'better', 'review', 'item', 'bake', 'goat', 'chees', 'toast', 'grill', 'calamari', 'gazpacho', 'terribl', 'dont', 'get', 'servic', 'ambienc', 'food', 'bad', 'go']","[('im', 'appal'), ('appal', 'mani'), ('mani', 'review'), ('review', 'good'), ('good', 'ratingsi'), ('ratingsi', 'went'), ('went', 'weeknight'), ('weeknight', 'wa'), ('wa', 'empti'), ('empti', 'order'), ('order', 'better'), ('better', 'review'), ('review', 'item'), ('item', 'bake'), ('bake', 'goat'), ('goat', 'chees'), ('chees', 'toast'), ('toast', 'grill'), ('grill', 'calamari'), ('calamari', 'gazpacho'), ('gazpacho', 'terribl'), ('terribl', 'dont'), ('dont', 'get'), ('get', 'servic'), ('servic', 'ambienc'), ('ambienc', 'food'), ('food', 'bad'), ('bad', 'go')]"
3,Mel S.,JcoQBkiNrTFzwfaDx3zX_Q,3.0,Ive always loved Cafe Iberico It has good well priced tapas the wine is affordable and of good quality and their sangria is delicious  I came here today with a group of 6 and the drinks and the tapas didnt disappoint My go tos are the pulpo octopus Gambas the bacon wrapped dates and the potato salad all of them are good  Today we also tried the lamb special the muscles and the babas bravas and all held up to our standards I think thats impressive considering I had tapas for every meal in Barcelona a few months agoI would have given this place 4 stars had it not been for their paella  What makes Paella is how its cooked it is typically prepared  so that the rice is a little crunchy  The paella here tastes like normal soft rice with seafood and peas mixed in I would definitely skip the paella overall since the rice makes the dish  Go for the tapas and sangria,2014-06-30,"Chicago, IL","['ive', 'alway', 'love', 'cafe', 'iberico', 'ha', 'good', 'well', 'price', 'tapa', 'wine', 'afford', 'good', 'qualiti', 'sangria', 'delici', 'came', 'today', 'group', 'num', 'drink', 'tapa', 'didnt', 'disappoint', 'go', 'pulpo', 'octopu', 'gamba', 'bacon', 'wrap', 'date', 'potato', 'salad', 'good', 'today', 'also', 'tri', 'lamb', 'special', 'muscl', 'baba', 'brava', 'held', 'standard', 'think', 'impress', 'consid', 'tapa', 'everi', 'meal', 'barcelona', 'month', 'agoi', 'would', 'given', 'thi', 'place', 'num', 'star', 'paella', 'make', 'paella', 'cook', 'typic', 'prepar', 'rice', 'littl', 'crunchi', 'paella', 'tast', 'like', 'normal', 'soft', 'rice', 'seafood', 'pea', 'mix', 'would', 'definit', 'skip', 'paella', 'overal', 'sinc', 'rice', 'make', 'dish', 'go', 'tapa', 'sangria']","[('ive', 'alway'), ('alway', 'love'), ('love', 'cafe'), ('cafe', 'iberico'), ('iberico', 'ha'), ('ha', 'good'), ('good', 'well'), ('well', 'price'), ('price', 'tapa'), ('tapa', 'wine'), ('wine', 'afford'), ('afford', 'good'), ('good', 'qualiti'), ('qualiti', 'sangria'), ('sangria', 'delici'), ('delici', 'came'), ('came', 'today'), ('today', 'group'), ('group', 'num'), ('num', 'drink'), ('drink', 'tapa'), ('tapa', 'didnt'), ('didnt', 'disappoint'), ('disappoint', 'go'), ('go', 'pulpo'), ('pulpo', 'octopu'), ('octopu', 'gamba'), ('gamba', 'bacon'), ('bacon', 'wrap'), ('wrap', 'date'), ('date', 'potato'), ('potato', 'salad'), ('salad', 'good'), ('good', 'today'), ('today', 'also'), ('also', 'tri'), ('tri', 'lamb'), ('lamb', 'special'), ('special', 'muscl'), ('muscl', 'baba'), ('baba', 'brava'), ('brava', 'held'), ('held', 'standard'), ('standard', 'think'), ('think', 'impress'), ('impress', 'consid'), ('consid', 'tapa'), ('tapa', 'everi'), ('everi', 'meal'), ('meal', 'barcelona'), ('barcelona', 'month'), ('month', 'agoi'), ('agoi', 'would'), ('would', 'given'), ('given', 'thi'), ('thi', 'place'), ('place', 'num'), ('num', 'star'), ('star', 'paella'), ('paella', 'make'), ('make', 'paella'), ('paella', 'cook'), ('cook', 'typic'), ('typic', 'prepar'), ('prepar', 'rice'), ('rice', 'littl'), ('littl', 'crunchi'), ('crunchi', 'paella'), ('paella', 'tast'), ('tast', 'like'), ('like', 'normal'), ('normal', 'soft'), ('soft', 'rice'), ('rice', 'seafood'), ('seafood', 'pea'), ('pea', 'mix'), ('mix', 'would'), ('would', 'definit'), ('definit', 'skip'), ('skip', 'paella'), ('paella', 'overal'), ('overal', 'sinc'), ('sinc', 'rice'), ('rice', 'make'), ('make', 'dish'), ('dish', 'go'), ('go', 'tapa'), ('tapa', 'sangria')]"
4,Jessica V.,jCdBbcdZLtxtsDSS34GiaQ,4.0,Wow a group of 5 of us came in at 11pm on a Friday and this place was still super packed Everything was amazing We got the steak which came with fries Just okay The steak was kind of sweet because of the onions and I would have preferred to let the meat come through more Chicken with rice and spicy potatoes were amazing The white sauce and grilled onions go good with anything Not a huge calamari fan in general but the portion was huge Got the crepe for dessert and it was amazing More than enough for 4 peopleThe sangria pitcher was a little small and the margarita was nothing specialOnly 26 each spilt between 4 people including tax and tip so not bad at all Would definitely go back and try out some different dishes Considering how busy it was at 11pm I would suggest going at nonpeek hours or making a reservation,2014-06-23,"Chicago, IL","['wow', 'group', 'num', 'us', 'came', '11pm', 'friday', 'thi', 'place', 'wa', 'still', 'super', 'pack', 'everyth', 'wa', 'amaz', 'got', 'steak', 'came', 'fri', 'okay', 'steak', 'wa', 'kind', 'sweet', 'becaus', 'onion', 'would', 'prefer', 'let', 'meat', 'come', 'chicken', 'rice', 'spici', 'potato', 'amaz', 'white', 'sauc', 'grill', 'onion', 'go', 'good', 'anyth', 'huge', 'calamari', 'fan', 'gener', 'portion', 'wa', 'huge', 'got', 'crepe', 'dessert', 'wa', 'amaz', 'enough', 'num', 'peopleth', 'sangria', 'pitcher', 'wa', 'littl', 'small', 'margarita', 'wa', 'noth', 'specialonli', 'num', 'spilt', 'num', 'peopl', 'includ', 'tax', 'tip', 'bad', 'would', 'definit', 'go', 'back', 'tri', 'differ', 'dish', 'consid', 'busi', 'wa', '11pm', 'would', 'suggest', 'go', 'nonpeek', 'hour', 'make', 'reserv']","[('wow', 'group'), ('group', 'num'), ('num', 'us'), ('us', 'came'), ('came', '11pm'), ('11pm', 'friday'), ('friday', 'thi'), ('thi', 'place'), ('place', 'wa'), ('wa', 'still'), ('still', 'super'), ('super', 'pack'), ('pack', 'everyth'), ('everyth', 'wa'), ('wa', 'amaz'), ('amaz', 'got'), ('got', 'steak'), ('steak', 'came'), ('came', 'fri'), ('fri', 'okay'), ('okay', 'steak'), ('steak', 'wa'), ('wa', 'kind'), ('kind', 'sweet'), ('sweet', 'becaus'), ('becaus', 'onion'), ('onion', 'would'), ('would', 'prefer'), ('prefer', 'let'), ('let', 'meat'), ('meat', 'come'), ('come', 'chicken'), ('chicken', 'rice'), ('rice', 'spici'), ('spici', 'potato'), ('potato', 'amaz'), ('amaz', 'white'), ('white', 'sauc'), ('sauc', 'grill'), ('grill', 'onion'), ('onion', 'go'), ('go', 'good'), ('good', 'anyth'), ('anyth', 'huge'), ('huge', 'calamari'), ('calamari', 'fan'), ('fan', 'gener'), ('gener', 'portion'), ('portion', 'wa'), ('wa', 'huge'), ('huge', 'got'), ('got', 'crepe'), ('crepe', 'dessert'), ('dessert', 'wa'), ('wa', 'amaz'), ('amaz', 'enough'), ('enough', 'num'), ('num', 'peopleth'), ('peopleth', 'sangria'), ('sangria', 'pitcher'), ('pitcher', 'wa'), ('wa', 'littl'), ('littl', 'small'), ('small', 'margarita'), ('margarita', 'wa'), ('wa', 'noth'), ('noth', 'specialonli'), ('specialonli', 'num'), ('num', 'spilt'), ('spilt', 'num'), ('num', 'peopl'), ('peopl', 'includ'), ('includ', 'tax'), ('tax', 'tip'), ('tip', 'bad'), ('bad', 'would'), ('would', 'definit'), ('definit', 'go'), ('go', 'back'), ('back', 'tri'), ('tri', 'differ'), ('differ', 'dish'), ('dish', 'consid'), ('consid', 'busi'), ('busi', 'wa'), ('wa', '11pm'), ('11pm', 'would'), ('would', 'suggest'), ('suggest', 'go'), ('go', 'nonpeek'), ('nonpeek', 'hour'), ('hour', 'make'), ('make', 'reserv')]"
5,Danielle T.,SYHyquAWagQYipKFEt5Gmg,4.0,Great little tapas place Sangria is sweet patatas bravas is spicy and goat cheese is a great staple Attentive service We sat at the bar and were probably in and out in under an hour Seemed like a great place for large groups as well,2014-07-12,"Verona, WI","['great', 'littl', 'tapa', 'place', 'sangria', 'sweet', 'patata', 'brava', 'spici', 'goat', 'chees', 'great', 'stapl', 'attent', 'servic', 'sat', 'bar', 'probabl', 'hour', 'seem', 'like', 'great', 'place', 'larg', 'group', 'well']","[('great', 'littl'), ('littl', 'tapa'), ('tapa', 'place'), ('place', 'sangria'), ('sangria', 'sweet'), ('sweet', 'patata'), ('patata', 'brava'), ('brava', 'spici'), ('spici', 'goat'), ('goat', 'chees'), ('chees', 'great'), ('great', 'stapl'), ('stapl', 'attent'), ('attent', 'servic'), ('servic', 'sat'), ('sat', 'bar'), ('bar', 'probabl'), ('probabl', 'hour'), ('hour', 'seem'), ('seem', 'like'), ('like', 'great'), ('great', 'place'), ('place', 'larg'), ('larg', 'group'), ('group', 'well')]"
6,Tima D.,73njzUTN0a3uMKkoz32V3Q,3.0,This place has the best tapas and sangria in the city of Chicago The red sangria definitley hits the spot and is paired best with Potatas Bravas and the goat cheese It is always a zoo in there so be prepared for a long wait I dont think they have reservations on the weekends Its a really big place but it still gets so overwhelmingly busy there I knocked off a few stars because the service is not where it should be Given that the food is so phenomenal it keeps me coming back but they really need nicer staff Also just a minor detail valet got in a huge wreck with my car right in front of me a year ago and the manager of this place was beyond rude when it happened so do yourself a favor and park on your own next time,2014-07-10,"Chicago, IL","['thi', 'place', 'ha', 'best', 'tapa', 'sangria', 'citi', 'chicago', 'red', 'sangria', 'definitley', 'hit', 'spot', 'pair', 'best', 'potata', 'brava', 'goat', 'chees', 'alway', 'zoo', 'prepar', 'long', 'wait', 'dont', 'think', 'reserv', 'weekend', 'realli', 'big', 'place', 'still', 'get', 'overwhelmingli', 'busi', 'knock', 'star', 'becaus', 'servic', 'given', 'food', 'phenomen', 'keep', 'come', 'back', 'realli', 'need', 'nicer', 'staff', 'also', 'minor', 'detail', 'valet', 'got', 'huge', 'wreck', 'car', 'right', 'front', 'year', 'ago', 'manag', 'thi', 'place', 'wa', 'beyond', 'rude', 'happen', 'favor', 'park', 'next', 'time']","[('thi', 'place'), ('place', 'ha'), ('ha', 'best'), ('best', 'tapa'), ('tapa', 'sangria'), ('sangria', 'citi'), ('citi', 'chicago'), ('chicago', 'red'), ('red', 'sangria'), ('sangria', 'definitley'), ('definitley', 'hit'), ('hit', 'spot'), ('spot', 'pair'), ('pair', 'best'), ('best', 'potata'), ('potata', 'brava'), ('brava', 'goat'), ('goat', 'chees'), ('chees', 'alway'), ('alway', 'zoo'), ('zoo', 'prepar'), ('prepar', 'long'), ('long', 'wait'), ('wait', 'dont'), ('dont', 'think'), ('think', 'reserv'), ('reserv', 'weekend'), ('weekend', 'realli'), ('realli', 'big'), ('big', 'place'), ('place', 'still'), ('still', 'get'), ('get', 'overwhelmingli'), ('overwhelmingli', 'busi'), ('busi', 'knock'), ('knock', 'star'), ('star', 'becaus'), ('becaus', 'servic'), ('servic', 'given'), ('given', 'food'), ('food', 'phenomen'), ('phenomen', 'keep'), ('keep', 'come'), ('come', 'back'), ('back', 'realli'), ('realli', 'need'), ('need', 'nicer'), ('nicer', 'staff'), ('staff', 'also'), ('also', 'minor'), ('minor', 'detail'), ('detail', 'valet'), ('valet', 'got'), ('got', 'huge'), ('huge', 'wreck'), ('wreck', 'car'), ('car', 'right'), ('right', 'front'), ('front', 'year'), ('year', 'ago'), ('ago', 'manag'), ('manag', 'thi'), ('thi', 'place'), ('place', 'wa'), ('wa', 'beyond'), ('beyond', 'rude'), ('rude', 'happen'), ('happen', 'favor'), ('favor', 'park'), ('park', 'next'), ('next', 'time')]"
7,David S.,YaE_C3hyqEor12-4cQUJGw,3.0,The food and sangria are amazing I usually get the chicken or beef on a skewer with the spicy potatoes Parking is hard to find but not impossible The only reason im giving this place 3 stars is because of how ridiculously loud it can get and the service can be bad if you look young With that being said ill still come back for the food,2014-07-16,"Chicago, IL","['food', 'sangria', 'amaz', 'usual', 'get', 'chicken', 'beef', 'skewer', 'spici', 'potato', 'park', 'hard', 'find', 'imposs', 'onli', 'reason', 'im', 'give', 'thi', 'place', 'num', 'star', 'becaus', 'ridicul', 'loud', 'get', 'servic', 'bad', 'look', 'young', 'said', 'ill', 'still', 'come', 'back', 'food']","[('food', 'sangria'), ('sangria', 'amaz'), ('amaz', 'usual'), ('usual', 'get'), ('get', 'chicken'), ('chicken', 'beef'), ('beef', 'skewer'), ('skewer', 'spici'), ('spici', 'potato'), ('potato', 'park'), ('park', 'hard'), ('hard', 'find'), ('find', 'imposs'), ('imposs', 'onli'), ('onli', 'reason'), ('reason', 'im'), ('im', 'give'), ('give', 'thi'), ('thi', 'place'), ('place', 'num'), ('num', 'star'), ('star', 'becaus'), ('becaus', 'ridicul'), ('ridicul', 'loud'), ('loud', 'get'), ('get', 'servic'), ('servic', 'bad'), ('bad', 'look'), ('look', 'young'), ('young', 'said'), ('said', 'ill'), ('ill', 'still'), ('still', 'come'), ('come', 'back'), ('back', 'food')]"
8,David C.,W7V9MW9eNj0BTemLW4Lubg,4.0,I LOVE this place Any time I have family from Spain visit I take them here This place as Spanish as I have seen in the US thus far My favorite dish is the fried ocropus with french fries by farbut the russian salad and the criquettes are also very good I will come again and again and again,2014-07-16,"Chicago, IL","['love', 'thi', 'place', 'ani', 'time', 'famili', 'spain', 'visit', 'take', 'thi', 'place', 'spanish', 'seen', 'us', 'thu', 'far', 'favorit', 'dish', 'fri', 'ocropu', 'french', 'fri', 'farbut', 'russian', 'salad', 'criquett', 'also', 'veri', 'good', 'come']","[('love', 'thi'), ('thi', 'place'), ('place', 'ani'), ('ani', 'time'), ('time', 'famili'), ('famili', 'spain'), ('spain', 'visit'), ('visit', 'take'), ('take', 'thi'), ('thi', 'place'), ('place', 'spanish'), ('spanish', 'seen'), ('seen', 'us'), ('us', 'thu'), ('thu', 'far'), ('far', 'favorit'), ('favorit', 'dish'), ('dish', 'fri'), ('fri', 'ocropu'), ('ocropu', 'french'), ('french', 'fri'), ('fri', 'farbut'), ('farbut', 'russian'), ('russian', 'salad'), ('salad', 'criquett'), ('criquett', 'also'), ('also', 'veri'), ('veri', 'good'), ('good', 'come')]"
9,Emily J.,PowDH-Ie0hfYNQ4ppgwWmw,4.0,My cousins and I loved this place and had a great girls night here the other night Cafe Iberico was the perfect respite from the cold wind and rain with its bright interior Spanish tiled floors Spanish soundtrack and of course pitchers of sangria Speaking of sangria its delicious here I we split a pitcher between the three of us and it was the perfect amount to warm us all up One of my cousins is vegetarian so we stuck to veggie friendly options so we could all share We started with the sautéed mushrooms so amazingly flavorful and perfectly cooked I loved the classic tortilla españollayered potatoes and veggies and spices cut in a wedge filling a tasty too We also got the papas in spicy red sauce recommended to us by our friendly server My favorite was the bruschetta with goat cheese and tomato It was the perfect mix between creamy and crunchy sweet and saltylove it You get a lot of bang for you buck here as well I know some other reviewers were complaining that the tapas were too big but I disagree Valuewise you get a good amount of food for the price youre paying I would love to come back to Cafe Iberico perhaps with a carnivore to try a wider variety of tapas,2014-06-28,"Chicago, IL","['cousin', 'love', 'thi', 'place', 'great', 'girl', 'night', 'night', 'cafe', 'iberico', 'wa', 'perfect', 'respit', 'cold', 'wind', 'rain', 'bright', 'interior', 'spanish', 'tile', 'floor', 'spanish', 'soundtrack', 'cours', 'pitcher', 'sangria', 'speak', 'sangria', 'delici', 'split', 'pitcher', 'three', 'us', 'wa', 'perfect', 'amount', 'warm', 'us', 'one', 'cousin', 'vegetarian', 'stuck', 'veggi', 'friendli', 'option', 'could', 'share', 'start', 'sauté', 'mushroom', 'amazingli', 'flavor', 'perfectli', 'cook', 'love', 'classic', 'tortilla', 'españollay', 'potato', 'veggi', 'spice', 'cut', 'wedg', 'fill', 'tasti', 'also', 'got', 'papa', 'spici', 'red', 'sauc', 'recommend', 'us', 'friendli', 'server', 'favorit', 'wa', 'bruschetta', 'goat', 'chees', 'tomato', 'wa', 'perfect', 'mix', 'creami', 'crunchi', 'sweet', 'saltylov', 'get', 'lot', 'bang', 'buck', 'well', 'know', 'review', 'complain', 'tapa', 'big', 'disagre', 'valuewis', 'get', 'good', 'amount', 'food', 'price', 'pay', 'would', 'love', 'come', 'back', 'cafe', 'iberico', 'perhap', 'carnivor', 'tri', 'wider', 'varieti', 'tapa']","[('cousin', 'love'), ('love', 'thi'), ('thi', 'place'), ('place', 'great'), ('great', 'girl'), ('girl', 'night'), ('night', 'night'), ('night', 'cafe'), ('cafe', 'iberico'), ('iberico', 'wa'), ('wa', 'perfect'), ('perfect', 'respit'), ('respit', 'cold'), ('cold', 'wind'), ('wind', 'rain'), ('rain', 'bright'), ('bright', 'interior'), ('interior', 'spanish'), ('spanish', 'tile'), ('tile', 'floor'), ('floor', 'spanish'), ('spanish', 'soundtrack'), ('soundtrack', 'cours'), ('cours', 'pitcher'), ('pitcher', 'sangria'), ('sangria', 'speak'), ('speak', 'sangria'), ('sangria', 'delici'), ('delici', 'split'), ('split', 'pitcher'), ('pitcher', 'three'), ('three', 'us'), ('us', 'wa'), ('wa', 'perfect'), ('perfect', 'amount'), ('amount', 'warm'), ('warm', 'us'), ('us', 'one'), ('one', 'cousin'), ('cousin', 'vegetarian'), ('vegetarian', 'stuck'), ('stuck', 'veggi'), ('veggi', 'friendli'), ('friendli', 'option'), ('option', 'could'), ('could', 'share'), ('share', 'start'), ('start', 'sauté'), ('sauté', 'mushroom'), ('mushroom', 'amazingli'), ('amazingli', 'flavor'), ('flavor', 'perfectli'), ('perfectli', 'cook'), ('cook', 'love'), ('love', 'classic'), ('classic', 'tortilla'), ('tortilla', 'españollay'), ('españollay', 'potato'), ('potato', 'veggi'), ('veggi', 'spice'), ('spice', 'cut'), ('cut', 'wedg'), ('wedg', 'fill'), ('fill', 'tasti'), ('tasti', 'also'), ('also', 'got'), ('got', 'papa'), ('papa', 'spici'), ('spici', 'red'), ('red', 'sauc'), ('sauc', 'recommend'), ('recommend', 'us'), ('us', 'friendli'), ('friendli', 'server'), ('server', 'favorit'), ('favorit', 'wa'), ('wa', 'bruschetta'), ('bruschetta', 'goat'), ('goat', 'chees'), ('chees', 'tomato'), ('tomato', 'wa'), ('wa', 'perfect'), ('perfect', 'mix'), ('mix', 'creami'), ('creami', 'crunchi'), ('crunchi', 'sweet'), ('sweet', 'saltylov'), ('saltylov', 'get'), ('get', 'lot'), ('lot', 'bang'), ('bang', 'buck'), ('buck', 'well'), ('well', 'know'), ('know', 'review'), ('review', 'complain'), ('complain', 'tapa'), ('tapa', 'big'), ('big', 'disagre'), ('disagre', 'valuewis'), ('valuewis', 'get'), ('get', 'good'), ('good', 'amount'), ('amount', 'food'), ('food', 'price'), ('price', 'pay'), ('pay', 'would'), ('would', 'love'), ('love', 'come'), ('come', 'back'), ('back', 'cafe'), ('cafe', 'iberico'), ('iberico', 'perhap'), ('perhap', 'carnivor'), ('carnivor', 'tri'), ('tri', 'wider'), ('wider', 'varieti'), ('varieti', 'tapa')]"
