,Author,ReviewID,Overall,Content,Date,Author_Location,Unigrams,bigrams
0,Marwan K.,VA-2akJ1aerJ3A7iQB4Qow,5.0,This is really delicious burger I tried 5 and 10 they both really goodeverything in the place is just awesome The services the design and the people who works their,2014-06-27,"Chicago, IL","['thi', 'realli', 'delici', 'burger', 'tri', 'num', 'num', 'realli', 'goodeveryth', 'place', 'awesom', 'servic', 'design', 'peopl', 'work']","[('thi', 'realli'), ('realli', 'delici'), ('delici', 'burger'), ('burger', 'tri'), ('tri', 'num'), ('num', 'num'), ('num', 'realli'), ('realli', 'goodeveryth'), ('goodeveryth', 'place'), ('place', 'awesom'), ('awesom', 'servic'), ('servic', 'design'), ('design', 'peopl'), ('peopl', 'work')]"
1,Barbara B.,IbWjPC-8wkD_8mjpTEUF2w,3.0,Very enjoyable burger  This place is more about the toppings and less about the meat  The meat patty is thin which allows the toppings to shine  I had the burger with onion strings and blue cheese  I enjoyed it but not as much as my burger at the Butcher and the Burger  I just like biting into a big juicy burger which I did not get here    Atmosphere is warm and kind of funky pretty loud inside   Had to shout to hear my date  Minus a star for the sweet potato fries they were really disappointing with a light lemon aioli that I did not at all care for  Would try one of the other fries,2014-06-22,"Chicago, IL","['veri', 'enjoy', 'burger', 'thi', 'place', 'top', 'less', 'meat', 'meat', 'patti', 'thin', 'allow', 'top', 'shine', 'burger', 'onion', 'string', 'blue', 'chees', 'enjoy', 'much', 'burger', 'butcher', 'burger', 'like', 'bite', 'big', 'juici', 'burger', 'get', 'atmospher', 'warm', 'kind', 'funki', 'pretti', 'loud', 'insid', 'shout', 'hear', 'date', 'minu', 'star', 'sweet', 'potato', 'fri', 'realli', 'disappoint', 'light', 'lemon', 'aioli', 'care', 'would', 'tri', 'one', 'fri']","[('veri', 'enjoy'), ('enjoy', 'burger'), ('burger', 'thi'), ('thi', 'place'), ('place', 'top'), ('top', 'less'), ('less', 'meat'), ('meat', 'meat'), ('meat', 'patti'), ('patti', 'thin'), ('thin', 'allow'), ('allow', 'top'), ('top', 'shine'), ('shine', 'burger'), ('burger', 'onion'), ('onion', 'string'), ('string', 'blue'), ('blue', 'chees'), ('chees', 'enjoy'), ('enjoy', 'much'), ('much', 'burger'), ('burger', 'butcher'), ('butcher', 'burger'), ('burger', 'like'), ('like', 'bite'), ('bite', 'big'), ('big', 'juici'), ('juici', 'burger'), ('burger', 'get'), ('get', 'atmospher'), ('atmospher', 'warm'), ('warm', 'kind'), ('kind', 'funki'), ('funki', 'pretti'), ('pretti', 'loud'), ('loud', 'insid'), ('insid', 'shout'), ('shout', 'hear'), ('hear', 'date'), ('date', 'minu'), ('minu', 'star'), ('star', 'sweet'), ('sweet', 'potato'), ('potato', 'fri'), ('fri', 'realli'), ('realli', 'disappoint'), ('disappoint', 'light'), ('light', 'lemon'), ('lemon', 'aioli'), ('aioli', 'care'), ('care', 'would'), ('would', 'tri'), ('tri', 'one'), ('one', 'fri')]"
2,Jesse T.,4FGjrXGJBoe1Mz4SJbXARw,5.0,Very creative burgers The accessories fries shakes mac and cheese could be a successful restaurant on their own without the outstanding meat but Im glad theyre together hereThe beer list is very good and the waitstaff are great The place gets crowded and loud when the weekend rolls around but its worth the wait,2014-06-11,"Chicago, IL","['veri', 'creativ', 'burger', 'accessori', 'fri', 'shake', 'mac', 'chees', 'could', 'success', 'restaur', 'without', 'outstand', 'meat', 'im', 'glad', 'theyr', 'togeth', 'hereth', 'beer', 'list', 'veri', 'good', 'waitstaff', 'great', 'place', 'get', 'crowd', 'loud', 'weekend', 'roll', 'around', 'worth', 'wait']","[('veri', 'creativ'), ('creativ', 'burger'), ('burger', 'accessori'), ('accessori', 'fri'), ('fri', 'shake'), ('shake', 'mac'), ('mac', 'chees'), ('chees', 'could'), ('could', 'success'), ('success', 'restaur'), ('restaur', 'without'), ('without', 'outstand'), ('outstand', 'meat'), ('meat', 'im'), ('im', 'glad'), ('glad', 'theyr'), ('theyr', 'togeth'), ('togeth', 'hereth'), ('hereth', 'beer'), ('beer', 'list'), ('list', 'veri'), ('veri', 'good'), ('good', 'waitstaff'), ('waitstaff', 'great'), ('great', 'place'), ('place', 'get'), ('get', 'crowd'), ('crowd', 'loud'), ('loud', 'weekend'), ('weekend', 'roll'), ('roll', 'around'), ('around', 'worth'), ('worth', 'wait')]"
3,Tiffany R.,KvuB1iW3MirN378Q0AoP6g,4.0,Service was amazingly great  Effie is super cool I admit I am vegetarian so I only got a veggie burger which was good They have a good number of beers and Effie will help you find the beer of your liking I will be back with my meat eating friends,2014-07-08,"Chicago, IL","['servic', 'wa', 'amazingli', 'great', 'effi', 'super', 'cool', 'admit', 'vegetarian', 'onli', 'got', 'veggi', 'burger', 'wa', 'good', 'good', 'number', 'beer', 'effi', 'help', 'find', 'beer', 'like', 'back', 'meat', 'eat', 'friend']","[('servic', 'wa'), ('wa', 'amazingli'), ('amazingli', 'great'), ('great', 'effi'), ('effi', 'super'), ('super', 'cool'), ('cool', 'admit'), ('admit', 'vegetarian'), ('vegetarian', 'onli'), ('onli', 'got'), ('got', 'veggi'), ('veggi', 'burger'), ('burger', 'wa'), ('wa', 'good'), ('good', 'good'), ('good', 'number'), ('number', 'beer'), ('beer', 'effi'), ('effi', 'help'), ('help', 'find'), ('find', 'beer'), ('beer', 'like'), ('like', 'back'), ('back', 'meat'), ('meat', 'eat'), ('eat', 'friend')]"
4,Chelsea B.,KuX_da2Sr-SkBAuzIS5cqw,5.0,Well I decided that since I have never ordered anything other then the lamb burger that I should branch out a bit The last 2 times I visited DMK I ordered different things I can happily say that the patty melt and the burger with the blueberry BBQ sauce are both just as amazing at the lamb This is great and unfortunate news Because now it will make deciding what to get much more difficult,2014-07-12,"Lakeview, Chicago, IL","['well', 'decid', 'sinc', 'never', 'order', 'anyth', 'lamb', 'burger', 'branch', 'bit', 'last', 'num', 'time', 'visit', 'dmk', 'order', 'differ', 'thing', 'happili', 'say', 'patti', 'melt', 'burger', 'blueberri', 'bbq', 'sauc', 'amaz', 'lamb', 'thi', 'great', 'unfortun', 'news', 'becaus', 'make', 'decid', 'get', 'much', 'difficult']","[('well', 'decid'), ('decid', 'sinc'), ('sinc', 'never'), ('never', 'order'), ('order', 'anyth'), ('anyth', 'lamb'), ('lamb', 'burger'), ('burger', 'branch'), ('branch', 'bit'), ('bit', 'last'), ('last', 'num'), ('num', 'time'), ('time', 'visit'), ('visit', 'dmk'), ('dmk', 'order'), ('order', 'differ'), ('differ', 'thing'), ('thing', 'happili'), ('happili', 'say'), ('say', 'patti'), ('patti', 'melt'), ('melt', 'burger'), ('burger', 'blueberri'), ('blueberri', 'bbq'), ('bbq', 'sauc'), ('sauc', 'amaz'), ('amaz', 'lamb'), ('lamb', 'thi'), ('thi', 'great'), ('great', 'unfortun'), ('unfortun', 'news'), ('news', 'becaus'), ('becaus', 'make'), ('make', 'decid'), ('decid', 'get'), ('get', 'much'), ('much', 'difficult')]"
5,Bridgid R.,KIRhkVVbwC_GMXVUq9W1lA,5.0,The 6 is the best burger ever but the Parmesan fries rocked too  This is my new favorite burger joint,2014-07-12,"Chicago, IL","['num', 'best', 'burger', 'ever', 'parmesan', 'fri', 'rock', 'thi', 'new', 'favorit', 'burger', 'joint']","[('num', 'best'), ('best', 'burger'), ('burger', 'ever'), ('ever', 'parmesan'), ('parmesan', 'fri'), ('fri', 'rock'), ('rock', 'thi'), ('thi', 'new'), ('new', 'favorit'), ('favorit', 'burger'), ('burger', 'joint')]"
6,Kassidy D.,Tnf09pdaTT84Er7Mblg1Rw,5.0,I had the lamb burger and was really pleased The bun tasted fresh It was delicious as were the Wisconsin cheddar and scallion fries The service was great and it seemed like a really great place to go and hang out I went with 3 people on a Monday and had no problem with a wait It wasnt overpriced at all I would definitely recommend,2014-07-14,"Athens, GA","['lamb', 'burger', 'wa', 'realli', 'pleas', 'bun', 'tast', 'fresh', 'wa', 'delici', 'wisconsin', 'cheddar', 'scallion', 'fri', 'servic', 'wa', 'great', 'seem', 'like', 'realli', 'great', 'place', 'go', 'hang', 'went', 'num', 'peopl', 'monday', 'problem', 'wait', 'wasnt', 'overpr', 'would', 'definit', 'recommend']","[('lamb', 'burger'), ('burger', 'wa'), ('wa', 'realli'), ('realli', 'pleas'), ('pleas', 'bun'), ('bun', 'tast'), ('tast', 'fresh'), ('fresh', 'wa'), ('wa', 'delici'), ('delici', 'wisconsin'), ('wisconsin', 'cheddar'), ('cheddar', 'scallion'), ('scallion', 'fri'), ('fri', 'servic'), ('servic', 'wa'), ('wa', 'great'), ('great', 'seem'), ('seem', 'like'), ('like', 'realli'), ('realli', 'great'), ('great', 'place'), ('place', 'go'), ('go', 'hang'), ('hang', 'went'), ('went', 'num'), ('num', 'peopl'), ('peopl', 'monday'), ('monday', 'problem'), ('problem', 'wait'), ('wait', 'wasnt'), ('wasnt', 'overpr'), ('overpr', 'would'), ('would', 'definit'), ('definit', 'recommend')]"
7,Tues T.,qQjP_bP-SgbbUSeH5vVt8w,4.0,Oh YES These burgers are GOOD so are the friesThe BIG salad isnt that big 3 adults shared the salad 2 orders of fries Parmesan Truffle Cream and the Amish Blue  Smoked Bacon and we each got a burger PERFECT Also LOVED the pineapple basil soda,2014-06-29,"Monrovia, CA","['oh', 'ye', 'burger', 'good', 'friesth', 'big', 'salad', 'isnt', 'big', 'num', 'adult', 'share', 'salad', 'num', 'order', 'fri', 'parmesan', 'truffl', 'cream', 'amish', 'blue', 'smoke', 'bacon', 'got', 'burger', 'perfect', 'also', 'love', 'pineappl', 'basil', 'soda']","[('oh', 'ye'), ('ye', 'burger'), ('burger', 'good'), ('good', 'friesth'), ('friesth', 'big'), ('big', 'salad'), ('salad', 'isnt'), ('isnt', 'big'), ('big', 'num'), ('num', 'adult'), ('adult', 'share'), ('share', 'salad'), ('salad', 'num'), ('num', 'order'), ('order', 'fri'), ('fri', 'parmesan'), ('parmesan', 'truffl'), ('truffl', 'cream'), ('cream', 'amish'), ('amish', 'blue'), ('blue', 'smoke'), ('smoke', 'bacon'), ('bacon', 'got'), ('got', 'burger'), ('burger', 'perfect'), ('perfect', 'also'), ('also', 'love'), ('love', 'pineappl'), ('pineappl', 'basil'), ('basil', 'soda')]"
8,Justin G.,VqSD4ftgWbSkkrCYrcANvQ,5.0,Great burger fun atmosphere  They have a rewards program which is nice  Honestly my second favorite burger in the city but the reality is it comes down to preference between DMK and Kumas my wife likes DMK better,2014-07-09,"Chicago, IL","['great', 'burger', 'fun', 'atmospher', 'reward', 'program', 'nice', 'honestli', 'second', 'favorit', 'burger', 'citi', 'realiti', 'come', 'prefer', 'dmk', 'kuma', 'wife', 'like', 'dmk', 'better']","[('great', 'burger'), ('burger', 'fun'), ('fun', 'atmospher'), ('atmospher', 'reward'), ('reward', 'program'), ('program', 'nice'), ('nice', 'honestli'), ('honestli', 'second'), ('second', 'favorit'), ('favorit', 'burger'), ('burger', 'citi'), ('citi', 'realiti'), ('realiti', 'come'), ('come', 'prefer'), ('prefer', 'dmk'), ('dmk', 'kuma'), ('kuma', 'wife'), ('wife', 'like'), ('like', 'dmk'), ('dmk', 'better')]"
9,Emily H.,orUO87w07nxqdK6-k9WM6Q,5.0,Amazing milk shakes I got the smore shake and it tastes just like a toasted marshmallow I had the bartender add khalua and it was great,2014-07-08,"Savoy, IL","['amaz', 'milk', 'shake', 'got', 'smore', 'shake', 'tast', 'like', 'toast', 'marshmallow', 'bartend', 'add', 'khalua', 'wa', 'great']","[('amaz', 'milk'), ('milk', 'shake'), ('shake', 'got'), ('got', 'smore'), ('smore', 'shake'), ('shake', 'tast'), ('tast', 'like'), ('like', 'toast'), ('toast', 'marshmallow'), ('marshmallow', 'bartend'), ('bartend', 'add'), ('add', 'khalua'), ('khalua', 'wa'), ('wa', 'great')]"
