,Author,ReviewID,Overall,Content,Date,Author_Location,Unigrams,bigrams
0,Ned K.,SDbClFK3cvyaULAVQesWmg,5.0,I dont throw these words around often but this may be one of the best brunches Ive ever had  We started with the pierogies which were a fantastic appetizer of course there could always be more though  I then got the eggs benedict with short ribs which were perfect although Im sure my cholesterol shot up right after eating it  Also the fries that they come with are amazing  Aside from the food the atmosphere is also great and relaxing  We went when the jazz band was playing it was a perfect mood setter for a Saturday afternoon  I will definitely be coming back and I highly recommend,2014-07-12,"Boston, MA","['dont', 'throw', 'word', 'around', 'often', 'thi', 'may', 'one', 'best', 'brunch', 'ive', 'ever', 'start', 'pierogi', 'fantast', 'appet', 'cours', 'could', 'alway', 'though', 'got', 'egg', 'benedict', 'short', 'rib', 'perfect', 'although', 'im', 'sure', 'cholesterol', 'shot', 'right', 'eat', 'also', 'fri', 'come', 'amaz', 'asid', 'food', 'atmospher', 'also', 'great', 'relax', 'went', 'jazz', 'band', 'wa', 'play', 'wa', 'perfect', 'mood', 'setter', 'saturday', 'afternoon', 'definit', 'come', 'back', 'highli', 'recommend']","[('dont', 'throw'), ('throw', 'word'), ('word', 'around'), ('around', 'often'), ('often', 'thi'), ('thi', 'may'), ('may', 'one'), ('one', 'best'), ('best', 'brunch'), ('brunch', 'ive'), ('ive', 'ever'), ('ever', 'start'), ('start', 'pierogi'), ('pierogi', 'fantast'), ('fantast', 'appet'), ('appet', 'cours'), ('cours', 'could'), ('could', 'alway'), ('alway', 'though'), ('though', 'got'), ('got', 'egg'), ('egg', 'benedict'), ('benedict', 'short'), ('short', 'rib'), ('rib', 'perfect'), ('perfect', 'although'), ('although', 'im'), ('im', 'sure'), ('sure', 'cholesterol'), ('cholesterol', 'shot'), ('shot', 'right'), ('right', 'eat'), ('eat', 'also'), ('also', 'fri'), ('fri', 'come'), ('come', 'amaz'), ('amaz', 'asid'), ('asid', 'food'), ('food', 'atmospher'), ('atmospher', 'also'), ('also', 'great'), ('great', 'relax'), ('relax', 'went'), ('went', 'jazz'), ('jazz', 'band'), ('band', 'wa'), ('wa', 'play'), ('play', 'wa'), ('wa', 'perfect'), ('perfect', 'mood'), ('mood', 'setter'), ('setter', 'saturday'), ('saturday', 'afternoon'), ('afternoon', 'definit'), ('definit', 'come'), ('come', 'back'), ('back', 'highli'), ('highli', 'recommend')]"
1,Hanae K.,q1ncSeW5yIdM1IbCKGOx4g,4.0,Love this place their signature Beer with honey after taste artsy chic decor and live music They also serve food but I am only rating this place for my night life experience There are two floors First floor was less crowded on a Friday night when we arrived around 930ish The bottom floor where the live music was more crowded with different kinds of peeps old young white Asians etc,2014-07-08,"Torrance, CA","['love', 'thi', 'place', 'signatur', 'beer', 'honey', 'tast', 'artsi', 'chic', 'decor', 'live', 'music', 'also', 'serv', 'food', 'onli', 'rate', 'thi', 'place', 'night', 'life', 'experi', 'two', 'floor', 'first', 'floor', 'wa', 'less', 'crowd', 'friday', 'night', 'arriv', 'around', '930ish', 'bottom', 'floor', 'live', 'music', 'wa', 'crowd', 'differ', 'kind', 'peep', 'old', 'young', 'white', 'asian', 'etc']","[('love', 'thi'), ('thi', 'place'), ('place', 'signatur'), ('signatur', 'beer'), ('beer', 'honey'), ('honey', 'tast'), ('tast', 'artsi'), ('artsi', 'chic'), ('chic', 'decor'), ('decor', 'live'), ('live', 'music'), ('music', 'also'), ('also', 'serv'), ('serv', 'food'), ('food', 'onli'), ('onli', 'rate'), ('rate', 'thi'), ('thi', 'place'), ('place', 'night'), ('night', 'life'), ('life', 'experi'), ('experi', 'two'), ('two', 'floor'), ('floor', 'first'), ('first', 'floor'), ('floor', 'wa'), ('wa', 'less'), ('less', 'crowd'), ('crowd', 'friday'), ('friday', 'night'), ('night', 'arriv'), ('arriv', 'around'), ('around', '930ish'), ('930ish', 'bottom'), ('bottom', 'floor'), ('floor', 'live'), ('live', 'music'), ('music', 'wa'), ('wa', 'crowd'), ('crowd', 'differ'), ('differ', 'kind'), ('kind', 'peep'), ('peep', 'old'), ('old', 'young'), ('young', 'white'), ('white', 'asian'), ('asian', 'etc')]"
2,Zohaib M.,gr5_Rn_pw8ModlTOR1Cerg,4.0,I went there for Sunday brunch with a friend The food was really good  add live Jazz music The music was not too loud You can actually have a conversation with your friends The service was fast The staff was freindly and well informed Im planning to go there again I would definitely recommend this to my friends On the downside Id say the musicians took a break during half of our brunch The place is a bit on the pricey side,2014-07-02,"Cambridge, MA","['went', 'sunday', 'brunch', 'friend', 'food', 'wa', 'realli', 'good', 'add', 'live', 'jazz', 'music', 'music', 'wa', 'loud', 'actual', 'convers', 'friend', 'servic', 'wa', 'fast', 'staff', 'wa', 'freindli', 'well', 'inform', 'im', 'plan', 'go', 'would', 'definit', 'recommend', 'thi', 'friend', 'downsid', 'id', 'say', 'musician', 'took', 'break', 'dure', 'half', 'brunch', 'place', 'bit', 'pricey', 'side']","[('went', 'sunday'), ('sunday', 'brunch'), ('brunch', 'friend'), ('friend', 'food'), ('food', 'wa'), ('wa', 'realli'), ('realli', 'good'), ('good', 'add'), ('add', 'live'), ('live', 'jazz'), ('jazz', 'music'), ('music', 'music'), ('music', 'wa'), ('wa', 'loud'), ('loud', 'actual'), ('actual', 'convers'), ('convers', 'friend'), ('friend', 'servic'), ('servic', 'wa'), ('wa', 'fast'), ('fast', 'staff'), ('staff', 'wa'), ('wa', 'freindli'), ('freindli', 'well'), ('well', 'inform'), ('inform', 'im'), ('im', 'plan'), ('plan', 'go'), ('go', 'would'), ('would', 'definit'), ('definit', 'recommend'), ('recommend', 'thi'), ('thi', 'friend'), ('friend', 'downsid'), ('downsid', 'id'), ('id', 'say'), ('say', 'musician'), ('musician', 'took'), ('took', 'break'), ('break', 'dure'), ('dure', 'half'), ('half', 'brunch'), ('brunch', 'place'), ('place', 'bit'), ('bit', 'pricey'), ('pricey', 'side')]"
3,Jim R.,L07_aBCFAqI3HwshfihEkQ,4.0,The food is good but the live jazz and funky basement setting in an old warehouse is what sets this place apartIm a regular,2014-07-16,"Boston, MA","['food', 'good', 'live', 'jazz', 'funki', 'basement', 'set', 'old', 'warehous', 'set', 'thi', 'place', 'apartim', 'regular']","[('food', 'good'), ('good', 'live'), ('live', 'jazz'), ('jazz', 'funki'), ('funki', 'basement'), ('basement', 'set'), ('set', 'old'), ('old', 'warehous'), ('warehous', 'set'), ('set', 'thi'), ('thi', 'place'), ('place', 'apartim'), ('apartim', 'regular')]"
4,Joe J.,s4JO_LBW1q7b50-TjfcFlg,4.0,I went here for the first time and was able to walk up at  8 PM and luckily sneak a table for 3 outside The service was good same with the food One thing about the food I ordered my filet mignon medium and it came out near well I didnt send it back because I didnt want to deal with the hassle and everyone already had their food but that is a major disappointment especially for such a nice cut of meatThe bohemian platter was a great appetizer to split and the drinks are wellmade We never made it inside for the music but I would visit again Ill most likely avoid the filet mignon and go with the shortrib sandwich as a companion of mine said it was succulent and deliciousSide note it is pricey,2014-07-01,"Brighton, MA","['went', 'first', 'time', 'wa', 'abl', 'walk', 'num', 'pm', 'luckili', 'sneak', 'tabl', 'num', 'outsid', 'servic', 'wa', 'good', 'food', 'one', 'thing', 'food', 'order', 'filet', 'mignon', 'medium', 'came', 'near', 'well', 'didnt', 'send', 'back', 'becaus', 'didnt', 'want', 'deal', 'hassl', 'everyon', 'alreadi', 'food', 'major', 'disappoint', 'especi', 'nice', 'cut', 'meatth', 'bohemian', 'platter', 'wa', 'great', 'appet', 'split', 'drink', 'wellmad', 'never', 'made', 'insid', 'music', 'would', 'visit', 'ill', 'like', 'avoid', 'filet', 'mignon', 'go', 'shortrib', 'sandwich', 'companion', 'mine', 'said', 'wa', 'succul', 'delicioussid', 'note', 'pricey']","[('went', 'first'), ('first', 'time'), ('time', 'wa'), ('wa', 'abl'), ('abl', 'walk'), ('walk', 'num'), ('num', 'pm'), ('pm', 'luckili'), ('luckili', 'sneak'), ('sneak', 'tabl'), ('tabl', 'num'), ('num', 'outsid'), ('outsid', 'servic'), ('servic', 'wa'), ('wa', 'good'), ('good', 'food'), ('food', 'one'), ('one', 'thing'), ('thing', 'food'), ('food', 'order'), ('order', 'filet'), ('filet', 'mignon'), ('mignon', 'medium'), ('medium', 'came'), ('came', 'near'), ('near', 'well'), ('well', 'didnt'), ('didnt', 'send'), ('send', 'back'), ('back', 'becaus'), ('becaus', 'didnt'), ('didnt', 'want'), ('want', 'deal'), ('deal', 'hassl'), ('hassl', 'everyon'), ('everyon', 'alreadi'), ('alreadi', 'food'), ('food', 'major'), ('major', 'disappoint'), ('disappoint', 'especi'), ('especi', 'nice'), ('nice', 'cut'), ('cut', 'meatth'), ('meatth', 'bohemian'), ('bohemian', 'platter'), ('platter', 'wa'), ('wa', 'great'), ('great', 'appet'), ('appet', 'split'), ('split', 'drink'), ('drink', 'wellmad'), ('wellmad', 'never'), ('never', 'made'), ('made', 'insid'), ('insid', 'music'), ('music', 'would'), ('would', 'visit'), ('visit', 'ill'), ('ill', 'like'), ('like', 'avoid'), ('avoid', 'filet'), ('filet', 'mignon'), ('mignon', 'go'), ('go', 'shortrib'), ('shortrib', 'sandwich'), ('sandwich', 'companion'), ('companion', 'mine'), ('mine', 'said'), ('said', 'wa'), ('wa', 'succul'), ('succul', 'delicioussid'), ('delicioussid', 'note'), ('note', 'pricey')]"
5,Matt K.,Za6jiyV7niOfORUcSmd_zw,3.0,The best thing The Beehive has going for it is its ambiance The place looks really cool aside from that the food is good but not amazing and drinks are fine but a few dollars overpriced I definitely wouldnt shy away but its not at the top of my list,2014-07-13,"Boston, MA","['best', 'thing', 'beehiv', 'ha', 'go', 'ambianc', 'place', 'look', 'realli', 'cool', 'asid', 'food', 'good', 'amaz', 'drink', 'fine', 'dollar', 'overpr', 'definit', 'wouldnt', 'shi', 'away', 'top', 'list']","[('best', 'thing'), ('thing', 'beehiv'), ('beehiv', 'ha'), ('ha', 'go'), ('go', 'ambianc'), ('ambianc', 'place'), ('place', 'look'), ('look', 'realli'), ('realli', 'cool'), ('cool', 'asid'), ('asid', 'food'), ('food', 'good'), ('good', 'amaz'), ('amaz', 'drink'), ('drink', 'fine'), ('fine', 'dollar'), ('dollar', 'overpr'), ('overpr', 'definit'), ('definit', 'wouldnt'), ('wouldnt', 'shi'), ('shi', 'away'), ('away', 'top'), ('top', 'list')]"
6,Tom H.,imKI3dPRPt03oBXuv47nrA,1.0,Come here for brunch to watch the service staff walk around empty tables while the hostesses make you wait without an explanation and ignore you Tacky Take a pass,2014-07-13,"Washington, DC","['come', 'brunch', 'watch', 'servic', 'staff', 'walk', 'around', 'empti', 'tabl', 'hostess', 'make', 'wait', 'without', 'explan', 'ignor', 'tacki', 'take', 'pass']","[('come', 'brunch'), ('brunch', 'watch'), ('watch', 'servic'), ('servic', 'staff'), ('staff', 'walk'), ('walk', 'around'), ('around', 'empti'), ('empti', 'tabl'), ('tabl', 'hostess'), ('hostess', 'make'), ('make', 'wait'), ('wait', 'without'), ('without', 'explan'), ('explan', 'ignor'), ('ignor', 'tacki'), ('tacki', 'take'), ('take', 'pass')]"
7,Amanda M.,PltUEZQXE1aAyMYTbRUedA,5.0,This place was so much fun We only had cocktails but it has great atmosphere a mixed crowd and live music  We plan to go back to eat and expect it to be equally fantastic  The cocktail menu had something for everyone  The staff were fantastic good service friendly personable,2014-07-13,"Somerville, MA","['thi', 'place', 'wa', 'much', 'fun', 'onli', 'cocktail', 'ha', 'great', 'atmospher', 'mix', 'crowd', 'live', 'music', 'plan', 'go', 'back', 'eat', 'expect', 'equal', 'fantast', 'cocktail', 'menu', 'someth', 'everyon', 'staff', 'fantast', 'good', 'servic', 'friendli', 'person']","[('thi', 'place'), ('place', 'wa'), ('wa', 'much'), ('much', 'fun'), ('fun', 'onli'), ('onli', 'cocktail'), ('cocktail', 'ha'), ('ha', 'great'), ('great', 'atmospher'), ('atmospher', 'mix'), ('mix', 'crowd'), ('crowd', 'live'), ('live', 'music'), ('music', 'plan'), ('plan', 'go'), ('go', 'back'), ('back', 'eat'), ('eat', 'expect'), ('expect', 'equal'), ('equal', 'fantast'), ('fantast', 'cocktail'), ('cocktail', 'menu'), ('menu', 'someth'), ('someth', 'everyon'), ('everyon', 'staff'), ('staff', 'fantast'), ('fantast', 'good'), ('good', 'servic'), ('servic', 'friendli'), ('friendli', 'person')]"
8,Marina W.,LmCeFJFRQXj15TP695AIUw,2.0,Ive been there twice now both times for dinner serviceBoth times I was pretty unimpressed The food was OK but so overpriced for the quality and portion of food that it really put a damper on how I felt about it I mean 175 for a plain hamburger and charging extra for toppings Cmon people Its not even grassfed andor organic or if it is they dont mention it on the menu I tried my dinner companions meals as well and they were again fine but nothing near what I would expect given the price points The live music is great if there are good musicians playing One of the times I was there we were treated to some very loud experimental jazz from some Berkelee students  I could barely hear the person sitting next to meThe cocktails are strong good and creative and about averaged priced for a fancy cocktail The honey beer is delicious Overall I think there are many better places with a more cohesive menu and tastier food within this price range or even slightly lower I will not be going back,2014-06-29,"Boston, MA","['ive', 'twice', 'time', 'dinner', 'serviceboth', 'time', 'wa', 'pretti', 'unimpress', 'food', 'wa', 'ok', 'overpr', 'qualiti', 'portion', 'food', 'realli', 'put', 'damper', 'felt', 'mean', 'num', 'plain', 'hamburg', 'charg', 'extra', 'top', 'cmon', 'peopl', 'even', 'grassf', 'andor', 'organ', 'dont', 'mention', 'menu', 'tri', 'dinner', 'companion', 'meal', 'well', 'fine', 'noth', 'near', 'would', 'expect', 'given', 'price', 'point', 'live', 'music', 'great', 'good', 'musician', 'play', 'one', 'time', 'wa', 'treat', 'veri', 'loud', 'experiment', 'jazz', 'berkele', 'student', 'could', 'bare', 'hear', 'person', 'sit', 'next', 'meth', 'cocktail', 'strong', 'good', 'creativ', 'averag', 'price', 'fanci', 'cocktail', 'honey', 'beer', 'delici', 'overal', 'think', 'mani', 'better', 'place', 'cohes', 'menu', 'tastier', 'food', 'within', 'thi', 'price', 'rang', 'even', 'slightli', 'lower', 'go', 'back']","[('ive', 'twice'), ('twice', 'time'), ('time', 'dinner'), ('dinner', 'serviceboth'), ('serviceboth', 'time'), ('time', 'wa'), ('wa', 'pretti'), ('pretti', 'unimpress'), ('unimpress', 'food'), ('food', 'wa'), ('wa', 'ok'), ('ok', 'overpr'), ('overpr', 'qualiti'), ('qualiti', 'portion'), ('portion', 'food'), ('food', 'realli'), ('realli', 'put'), ('put', 'damper'), ('damper', 'felt'), ('felt', 'mean'), ('mean', 'num'), ('num', 'plain'), ('plain', 'hamburg'), ('hamburg', 'charg'), ('charg', 'extra'), ('extra', 'top'), ('top', 'cmon'), ('cmon', 'peopl'), ('peopl', 'even'), ('even', 'grassf'), ('grassf', 'andor'), ('andor', 'organ'), ('organ', 'dont'), ('dont', 'mention'), ('mention', 'menu'), ('menu', 'tri'), ('tri', 'dinner'), ('dinner', 'companion'), ('companion', 'meal'), ('meal', 'well'), ('well', 'fine'), ('fine', 'noth'), ('noth', 'near'), ('near', 'would'), ('would', 'expect'), ('expect', 'given'), ('given', 'price'), ('price', 'point'), ('point', 'live'), ('live', 'music'), ('music', 'great'), ('great', 'good'), ('good', 'musician'), ('musician', 'play'), ('play', 'one'), ('one', 'time'), ('time', 'wa'), ('wa', 'treat'), ('treat', 'veri'), ('veri', 'loud'), ('loud', 'experiment'), ('experiment', 'jazz'), ('jazz', 'berkele'), ('berkele', 'student'), ('student', 'could'), ('could', 'bare'), ('bare', 'hear'), ('hear', 'person'), ('person', 'sit'), ('sit', 'next'), ('next', 'meth'), ('meth', 'cocktail'), ('cocktail', 'strong'), ('strong', 'good'), ('good', 'creativ'), ('creativ', 'averag'), ('averag', 'price'), ('price', 'fanci'), ('fanci', 'cocktail'), ('cocktail', 'honey'), ('honey', 'beer'), ('beer', 'delici'), ('delici', 'overal'), ('overal', 'think'), ('think', 'mani'), ('mani', 'better'), ('better', 'place'), ('place', 'cohes'), ('cohes', 'menu'), ('menu', 'tastier'), ('tastier', 'food'), ('food', 'within'), ('within', 'thi'), ('thi', 'price'), ('price', 'rang'), ('rang', 'even'), ('even', 'slightli'), ('slightli', 'lower'), ('lower', 'go'), ('go', 'back')]"
9,Tamara W.,HROisQi7rOC7j4bkfulFVg,4.0,I really love this place The food is nothing to write home about for sure unless you like greasy food I guess but the drinks are really great It is for sure expensive but it feels like you are somewhere that isnt soooo typical BostonThe bartenders have more a San Francisco feel with their little vests and the cocktails are super interesting  My only big complaint and why I will not give this place 5 stars is that they only have Crispin Hard Cider which is NOT actually hard cider its fake concentrate with caramelized sugar addedI wish they had Downeast or Bantam or another brand that was on par with the rest of their drink menu Otherwise the upstairs and downstairs atmosphere have their own thing going for it and if you dont like live music which I dont really then you can at least sit yourself on the other side of the bar so you can carry on your conversationYay Im a fan and will for sure be back again,2014-07-02,"Boston, MA","['realli', 'love', 'thi', 'place', 'food', 'noth', 'write', 'home', 'sure', 'unless', 'like', 'greasi', 'food', 'guess', 'drink', 'realli', 'great', 'sure', 'expens', 'feel', 'like', 'somewher', 'isnt', 'soooo', 'typic', 'bostonth', 'bartend', 'san', 'francisco', 'feel', 'littl', 'vest', 'cocktail', 'super', 'interest', 'onli', 'big', 'complaint', 'whi', 'give', 'thi', 'place', 'num', 'star', 'onli', 'crispin', 'hard', 'cider', 'actual', 'hard', 'cider', 'fake', 'concentr', 'caramel', 'sugar', 'addedi', 'wish', 'downeast', 'bantam', 'anoth', 'brand', 'wa', 'par', 'rest', 'drink', 'menu', 'otherwis', 'upstair', 'downstair', 'atmospher', 'thing', 'go', 'dont', 'like', 'live', 'music', 'dont', 'realli', 'least', 'sit', 'side', 'bar', 'carri', 'conversationyay', 'im', 'fan', 'sure', 'back']","[('realli', 'love'), ('love', 'thi'), ('thi', 'place'), ('place', 'food'), ('food', 'noth'), ('noth', 'write'), ('write', 'home'), ('home', 'sure'), ('sure', 'unless'), ('unless', 'like'), ('like', 'greasi'), ('greasi', 'food'), ('food', 'guess'), ('guess', 'drink'), ('drink', 'realli'), ('realli', 'great'), ('great', 'sure'), ('sure', 'expens'), ('expens', 'feel'), ('feel', 'like'), ('like', 'somewher'), ('somewher', 'isnt'), ('isnt', 'soooo'), ('soooo', 'typic'), ('typic', 'bostonth'), ('bostonth', 'bartend'), ('bartend', 'san'), ('san', 'francisco'), ('francisco', 'feel'), ('feel', 'littl'), ('littl', 'vest'), ('vest', 'cocktail'), ('cocktail', 'super'), ('super', 'interest'), ('interest', 'onli'), ('onli', 'big'), ('big', 'complaint'), ('complaint', 'whi'), ('whi', 'give'), ('give', 'thi'), ('thi', 'place'), ('place', 'num'), ('num', 'star'), ('star', 'onli'), ('onli', 'crispin'), ('crispin', 'hard'), ('hard', 'cider'), ('cider', 'actual'), ('actual', 'hard'), ('hard', 'cider'), ('cider', 'fake'), ('fake', 'concentr'), ('concentr', 'caramel'), ('caramel', 'sugar'), ('sugar', 'addedi'), ('addedi', 'wish'), ('wish', 'downeast'), ('downeast', 'bantam'), ('bantam', 'anoth'), ('anoth', 'brand'), ('brand', 'wa'), ('wa', 'par'), ('par', 'rest'), ('rest', 'drink'), ('drink', 'menu'), ('menu', 'otherwis'), ('otherwis', 'upstair'), ('upstair', 'downstair'), ('downstair', 'atmospher'), ('atmospher', 'thing'), ('thing', 'go'), ('go', 'dont'), ('dont', 'like'), ('like', 'live'), ('live', 'music'), ('music', 'dont'), ('dont', 'realli'), ('realli', 'least'), ('least', 'sit'), ('sit', 'side'), ('side', 'bar'), ('bar', 'carri'), ('carri', 'conversationyay'), ('conversationyay', 'im'), ('im', 'fan'), ('fan', 'sure'), ('sure', 'back')]"
