,Author,ReviewID,Overall,Content,Date,Author_Location,Unigrams,bigrams
0,Matt C.,62Xx9kGxOtu-ZNlcj6jMhA,5.0,Smash 1 hitCouple cocktails before  with dinner  of course  Of course they were tastyThe oysters were deliciousI consider myself an oyster snob and the ones here were terrificI had the fish o the day I think it was grouper and it was extremely fresh tastingThe place is booshieThere are many very good restaurants in New Orleans and dis be another oneOh and I forgot to mention the service start to finish head to toe was spot onYoure a bad boy,2014-07-16,"Morgan City, LA","['smash', 'num', 'hitcoupl', 'cocktail', 'befor', 'dinner', 'cours', 'cours', 'tastyth', 'oyster', 'deliciousi', 'consid', 'oyster', 'snob', 'one', 'terrifici', 'fish', 'o', 'day', 'think', 'wa', 'grouper', 'wa', 'extrem', 'fresh', 'tastingth', 'place', 'booshiether', 'mani', 'veri', 'good', 'restaur', 'new', 'orlean', 'di', 'anoth', 'oneoh', 'forgot', 'mention', 'servic', 'start', 'finish', 'head', 'toe', 'wa', 'spot', 'onyour', 'bad', 'boy']","[('smash', 'num'), ('num', 'hitcoupl'), ('hitcoupl', 'cocktail'), ('cocktail', 'befor'), ('befor', 'dinner'), ('dinner', 'cours'), ('cours', 'cours'), ('cours', 'tastyth'), ('tastyth', 'oyster'), ('oyster', 'deliciousi'), ('deliciousi', 'consid'), ('consid', 'oyster'), ('oyster', 'snob'), ('snob', 'one'), ('one', 'terrifici'), ('terrifici', 'fish'), ('fish', 'o'), ('o', 'day'), ('day', 'think'), ('think', 'wa'), ('wa', 'grouper'), ('grouper', 'wa'), ('wa', 'extrem'), ('extrem', 'fresh'), ('fresh', 'tastingth'), ('tastingth', 'place'), ('place', 'booshiether'), ('booshiether', 'mani'), ('mani', 'veri'), ('veri', 'good'), ('good', 'restaur'), ('restaur', 'new'), ('new', 'orlean'), ('orlean', 'di'), ('di', 'anoth'), ('anoth', 'oneoh'), ('oneoh', 'forgot'), ('forgot', 'mention'), ('mention', 'servic'), ('servic', 'start'), ('start', 'finish'), ('finish', 'head'), ('head', 'toe'), ('toe', 'wa'), ('wa', 'spot'), ('spot', 'onyour'), ('onyour', 'bad'), ('bad', 'boy')]"
1,Stacy F.,B-sunf7RMydicDxtZTHtZw,5.0,Where do I start This restaurant is amazing the staff their service and the food and drinks they serve are top notch After 6 days in New Orleans this was hands down my favorite place we ate in We went back because it was so wonderful The staff A friendly group that truly show southern hospitality On our first visit we sat at the bar where our bartender Brandi made some fabulous cocktails and even gave us tea to go since it was so hot and she knew we had walked  The oyster snickers Jamaal and Derick were so fun to visit with the told us places to go get their favorite po boys The found us huge delicious plump oysters while shucking and getting us laughing What a wonderful experienceNow for the foodOH MY GOSH absolutely fabulous We wanted to lick our plates I will start with one of my friends dish it was a simple ham eggs and grits plate My friend said she didnt like grits but Jamaal said she would like these he was right she loved the creamy grits and the eggs were cooked to perfection Another friend had the eggs in a jar grits with a poached egg and shrimp wonderful presentation and even better flavors deep in the mason jar My other friend had their matzo ball soup best we have ever had even in a Jewish Deli and the frogs legs crispy and delicious Even our picky eating friend loved the frog legs Now for my dish I am still dreaming of those flavors I had the shrimp and grits Roasted jalapeño cheese grits topped with andouille sausage grave packed with sausage then topped with jumbo shrimp I wanted to lick the plate clean it was the most wonderful dish eaten in New OrleansWe wen back again for happy hour dont miss it The oysters were amazing we had them raw and fried Again the cocktails were wonderful best mint julep in New Orleans I felt like I was sitting on the porch of TaraIf you are in New Orleans do not miss the opportunity to try this amazing place I personally cant wait for my next visit to go back,2014-07-16,"La Mesa, CA","['start', 'thi', 'restaur', 'amaz', 'staff', 'servic', 'food', 'drink', 'serv', 'top', 'notch', 'num', 'day', 'new', 'orlean', 'thi', 'wa', 'hand', 'favorit', 'place', 'ate', 'went', 'back', 'becaus', 'wa', 'wonder', 'staff', 'friendli', 'group', 'truli', 'show', 'southern', 'hospit', 'first', 'visit', 'sat', 'bar', 'bartend', 'brandi', 'made', 'fabul', 'cocktail', 'even', 'gave', 'us', 'tea', 'go', 'sinc', 'wa', 'hot', 'knew', 'walk', 'oyster', 'snicker', 'jamaal', 'derick', 'fun', 'visit', 'told', 'us', 'place', 'go', 'get', 'favorit', 'po', 'boy', 'found', 'us', 'huge', 'delici', 'plump', 'oyster', 'shuck', 'get', 'us', 'laugh', 'wonder', 'experiencenow', 'foodoh', 'gosh', 'absolut', 'fabul', 'want', 'lick', 'plate', 'start', 'one', 'friend', 'dish', 'wa', 'simpl', 'ham', 'egg', 'grit', 'plate', 'friend', 'said', 'didnt', 'like', 'grit', 'jamaal', 'said', 'would', 'like', 'wa', 'right', 'love', 'creami', 'grit', 'egg', 'cook', 'perfect', 'anoth', 'friend', 'egg', 'jar', 'grit', 'poach', 'egg', 'shrimp', 'wonder', 'present', 'even', 'better', 'flavor', 'deep', 'mason', 'jar', 'friend', 'matzo', 'ball', 'soup', 'best', 'ever', 'even', 'jewish', 'deli', 'frog', 'leg', 'crispi', 'delici', 'even', 'picki', 'eat', 'friend', 'love', 'frog', 'leg', 'dish', 'still', 'dream', 'flavor', 'shrimp', 'grit', 'roast', 'jalapeño', 'chees', 'grit', 'top', 'andouil', 'sausag', 'grave', 'pack', 'sausag', 'top', 'jumbo', 'shrimp', 'want', 'lick', 'plate', 'clean', 'wa', 'wonder', 'dish', 'eaten', 'new', 'orleansw', 'wen', 'back', 'happi', 'hour', 'dont', 'miss', 'oyster', 'amaz', 'raw', 'fri', 'cocktail', 'wonder', 'best', 'mint', 'julep', 'new', 'orlean', 'felt', 'like', 'wa', 'sit', 'porch', 'taraif', 'new', 'orlean', 'miss', 'opportun', 'tri', 'thi', 'amaz', 'place', 'person', 'cant', 'wait', 'next', 'visit', 'go', 'back']","[('start', 'thi'), ('thi', 'restaur'), ('restaur', 'amaz'), ('amaz', 'staff'), ('staff', 'servic'), ('servic', 'food'), ('food', 'drink'), ('drink', 'serv'), ('serv', 'top'), ('top', 'notch'), ('notch', 'num'), ('num', 'day'), ('day', 'new'), ('new', 'orlean'), ('orlean', 'thi'), ('thi', 'wa'), ('wa', 'hand'), ('hand', 'favorit'), ('favorit', 'place'), ('place', 'ate'), ('ate', 'went'), ('went', 'back'), ('back', 'becaus'), ('becaus', 'wa'), ('wa', 'wonder'), ('wonder', 'staff'), ('staff', 'friendli'), ('friendli', 'group'), ('group', 'truli'), ('truli', 'show'), ('show', 'southern'), ('southern', 'hospit'), ('hospit', 'first'), ('first', 'visit'), ('visit', 'sat'), ('sat', 'bar'), ('bar', 'bartend'), ('bartend', 'brandi'), ('brandi', 'made'), ('made', 'fabul'), ('fabul', 'cocktail'), ('cocktail', 'even'), ('even', 'gave'), ('gave', 'us'), ('us', 'tea'), ('tea', 'go'), ('go', 'sinc'), ('sinc', 'wa'), ('wa', 'hot'), ('hot', 'knew'), ('knew', 'walk'), ('walk', 'oyster'), ('oyster', 'snicker'), ('snicker', 'jamaal'), ('jamaal', 'derick'), ('derick', 'fun'), ('fun', 'visit'), ('visit', 'told'), ('told', 'us'), ('us', 'place'), ('place', 'go'), ('go', 'get'), ('get', 'favorit'), ('favorit', 'po'), ('po', 'boy'), ('boy', 'found'), ('found', 'us'), ('us', 'huge'), ('huge', 'delici'), ('delici', 'plump'), ('plump', 'oyster'), ('oyster', 'shuck'), ('shuck', 'get'), ('get', 'us'), ('us', 'laugh'), ('laugh', 'wonder'), ('wonder', 'experiencenow'), ('experiencenow', 'foodoh'), ('foodoh', 'gosh'), ('gosh', 'absolut'), ('absolut', 'fabul'), ('fabul', 'want'), ('want', 'lick'), ('lick', 'plate'), ('plate', 'start'), ('start', 'one'), ('one', 'friend'), ('friend', 'dish'), ('dish', 'wa'), ('wa', 'simpl'), ('simpl', 'ham'), ('ham', 'egg'), ('egg', 'grit'), ('grit', 'plate'), ('plate', 'friend'), ('friend', 'said'), ('said', 'didnt'), ('didnt', 'like'), ('like', 'grit'), ('grit', 'jamaal'), ('jamaal', 'said'), ('said', 'would'), ('would', 'like'), ('like', 'wa'), ('wa', 'right'), ('right', 'love'), ('love', 'creami'), ('creami', 'grit'), ('grit', 'egg'), ('egg', 'cook'), ('cook', 'perfect'), ('perfect', 'anoth'), ('anoth', 'friend'), ('friend', 'egg'), ('egg', 'jar'), ('jar', 'grit'), ('grit', 'poach'), ('poach', 'egg'), ('egg', 'shrimp'), ('shrimp', 'wonder'), ('wonder', 'present'), ('present', 'even'), ('even', 'better'), ('better', 'flavor'), ('flavor', 'deep'), ('deep', 'mason'), ('mason', 'jar'), ('jar', 'friend'), ('friend', 'matzo'), ('matzo', 'ball'), ('ball', 'soup'), ('soup', 'best'), ('best', 'ever'), ('ever', 'even'), ('even', 'jewish'), ('jewish', 'deli'), ('deli', 'frog'), ('frog', 'leg'), ('leg', 'crispi'), ('crispi', 'delici'), ('delici', 'even'), ('even', 'picki'), ('picki', 'eat'), ('eat', 'friend'), ('friend', 'love'), ('love', 'frog'), ('frog', 'leg'), ('leg', 'dish'), ('dish', 'still'), ('still', 'dream'), ('dream', 'flavor'), ('flavor', 'shrimp'), ('shrimp', 'grit'), ('grit', 'roast'), ('roast', 'jalapeño'), ('jalapeño', 'chees'), ('chees', 'grit'), ('grit', 'top'), ('top', 'andouil'), ('andouil', 'sausag'), ('sausag', 'grave'), ('grave', 'pack'), ('pack', 'sausag'), ('sausag', 'top'), ('top', 'jumbo'), ('jumbo', 'shrimp'), ('shrimp', 'want'), ('want', 'lick'), ('lick', 'plate'), ('plate', 'clean'), ('clean', 'wa'), ('wa', 'wonder'), ('wonder', 'dish'), ('dish', 'eaten'), ('eaten', 'new'), ('new', 'orleansw'), ('orleansw', 'wen'), ('wen', 'back'), ('back', 'happi'), ('happi', 'hour'), ('hour', 'dont'), ('dont', 'miss'), ('miss', 'oyster'), ('oyster', 'amaz'), ('amaz', 'raw'), ('raw', 'fri'), ('fri', 'cocktail'), ('cocktail', 'wonder'), ('wonder', 'best'), ('best', 'mint'), ('mint', 'julep'), ('julep', 'new'), ('new', 'orlean'), ('orlean', 'felt'), ('felt', 'like'), ('like', 'wa'), ('wa', 'sit'), ('sit', 'porch'), ('porch', 'taraif'), ('taraif', 'new'), ('new', 'orlean'), ('orlean', 'miss'), ('miss', 'opportun'), ('opportun', 'tri'), ('tri', 'thi'), ('thi', 'amaz'), ('amaz', 'place'), ('place', 'person'), ('person', 'cant'), ('cant', 'wait'), ('wait', 'next'), ('next', 'visit'), ('visit', 'go'), ('go', 'back')]"
2,Sharon W.,5XhU0g7i_DJW0UDDVeM8vQ,4.0,I totally forgot to review this placeThis was one of my favorite restaurants in New Orleans50 cents oysters during happy hour This is a deal that can not be beat For all you Californians beware these are not the typical small kumomodo oysters These are some big guys but still very goodI had the Shrimp with Jalapeno Grits He had the Special Pork with grits both were amazing and the portion after eating 2 dozen oysters and ordering 2 happy hour drinks each His special came with a bowl of gumbo and we were even given a free delicious bread puddingThe total you ask We paid 86 for 4 drinks 24 oysters 2 entrees with one gumbo and a complimentary dessertWow LUKE Way to go Thanks for making us feel totally at home and welcome at your restaurant I am itching to go back just to eat here again,2014-07-14,"Hayward, CA","['total', 'forgot', 'review', 'thi', 'placethi', 'wa', 'one', 'favorit', 'restaur', 'new', 'orleans50', 'cent', 'oyster', 'dure', 'happi', 'hour', 'thi', 'deal', 'beat', 'californian', 'bewar', 'typic', 'small', 'kumomodo', 'oyster', 'big', 'guy', 'still', 'veri', 'goodi', 'shrimp', 'jalapeno', 'grit', 'special', 'pork', 'grit', 'amaz', 'portion', 'eat', 'num', 'dozen', 'oyster', 'order', 'num', 'happi', 'hour', 'drink', 'hi', 'special', 'came', 'bowl', 'gumbo', 'even', 'given', 'free', 'delici', 'bread', 'puddingth', 'total', 'ask', 'paid', 'num', 'num', 'drink', 'num', 'oyster', 'num', 'entre', 'one', 'gumbo', 'complimentari', 'dessertwow', 'luke', 'way', 'go', 'thank', 'make', 'us', 'feel', 'total', 'home', 'welcom', 'restaur', 'itch', 'go', 'back', 'eat']","[('total', 'forgot'), ('forgot', 'review'), ('review', 'thi'), ('thi', 'placethi'), ('placethi', 'wa'), ('wa', 'one'), ('one', 'favorit'), ('favorit', 'restaur'), ('restaur', 'new'), ('new', 'orleans50'), ('orleans50', 'cent'), ('cent', 'oyster'), ('oyster', 'dure'), ('dure', 'happi'), ('happi', 'hour'), ('hour', 'thi'), ('thi', 'deal'), ('deal', 'beat'), ('beat', 'californian'), ('californian', 'bewar'), ('bewar', 'typic'), ('typic', 'small'), ('small', 'kumomodo'), ('kumomodo', 'oyster'), ('oyster', 'big'), ('big', 'guy'), ('guy', 'still'), ('still', 'veri'), ('veri', 'goodi'), ('goodi', 'shrimp'), ('shrimp', 'jalapeno'), ('jalapeno', 'grit'), ('grit', 'special'), ('special', 'pork'), ('pork', 'grit'), ('grit', 'amaz'), ('amaz', 'portion'), ('portion', 'eat'), ('eat', 'num'), ('num', 'dozen'), ('dozen', 'oyster'), ('oyster', 'order'), ('order', 'num'), ('num', 'happi'), ('happi', 'hour'), ('hour', 'drink'), ('drink', 'hi'), ('hi', 'special'), ('special', 'came'), ('came', 'bowl'), ('bowl', 'gumbo'), ('gumbo', 'even'), ('even', 'given'), ('given', 'free'), ('free', 'delici'), ('delici', 'bread'), ('bread', 'puddingth'), ('puddingth', 'total'), ('total', 'ask'), ('ask', 'paid'), ('paid', 'num'), ('num', 'num'), ('num', 'drink'), ('drink', 'num'), ('num', 'oyster'), ('oyster', 'num'), ('num', 'entre'), ('entre', 'one'), ('one', 'gumbo'), ('gumbo', 'complimentari'), ('complimentari', 'dessertwow'), ('dessertwow', 'luke'), ('luke', 'way'), ('way', 'go'), ('go', 'thank'), ('thank', 'make'), ('make', 'us'), ('us', 'feel'), ('feel', 'total'), ('total', 'home'), ('home', 'welcom'), ('welcom', 'restaur'), ('restaur', 'itch'), ('itch', 'go'), ('go', 'back'), ('back', 'eat')]"
3,Wesley W.,WO9a-UXf_wGrKfoARKmOqA,4.0,40 starsCrawford bisquedelishGrilled Ribeye Cooked to perfection  Service on a chopping board which i thought was uniqueRoasted Duck Breastvery tasty but small portionOverall a very nice dining experience  Service is good with a great bar and ambiance   Very close to the french quarter  definitely worth a return next time Im in NOLA,2014-07-12,"Monterey Park, CA","['num', 'starscrawford', 'bisquedelishgril', 'ribey', 'cook', 'perfect', 'servic', 'chop', 'board', 'thought', 'wa', 'uniqueroast', 'duck', 'breastveri', 'tasti', 'small', 'portionoveral', 'veri', 'nice', 'dine', 'experi', 'servic', 'good', 'great', 'bar', 'ambianc', 'veri', 'close', 'french', 'quarter', 'definit', 'worth', 'return', 'next', 'time', 'im', 'nola']","[('num', 'starscrawford'), ('starscrawford', 'bisquedelishgril'), ('bisquedelishgril', 'ribey'), ('ribey', 'cook'), ('cook', 'perfect'), ('perfect', 'servic'), ('servic', 'chop'), ('chop', 'board'), ('board', 'thought'), ('thought', 'wa'), ('wa', 'uniqueroast'), ('uniqueroast', 'duck'), ('duck', 'breastveri'), ('breastveri', 'tasti'), ('tasti', 'small'), ('small', 'portionoveral'), ('portionoveral', 'veri'), ('veri', 'nice'), ('nice', 'dine'), ('dine', 'experi'), ('experi', 'servic'), ('servic', 'good'), ('good', 'great'), ('great', 'bar'), ('bar', 'ambianc'), ('ambianc', 'veri'), ('veri', 'close'), ('close', 'french'), ('french', 'quarter'), ('quarter', 'definit'), ('definit', 'worth'), ('worth', 'return'), ('return', 'next'), ('next', 'time'), ('time', 'im'), ('im', 'nola')]"
4,Arimathea J.,baR-mR4UHTT1Dd4GYXctyw,4.0,Only giving 4 becuz Im going back tomorrow to try sumn different LISTEN UP This Here Is The Business Okhubby had ribeye steak with crab meat oh lawd I just melted and I had shrimp and grits scraps skillet with spoon FlawLesscomitwasthebo… imdone,2014-07-09,"Shreveport, LA","['onli', 'give', 'num', 'becuz', 'im', 'go', 'back', 'tomorrow', 'tri', 'sumn', 'differ', 'listen', 'thi', 'busi', 'okhubbi', 'ribey', 'steak', 'crab', 'meat', 'oh', 'lawd', 'melt', 'shrimp', 'grit', 'scrap', 'skillet', 'spoon', 'flawlesscomitwasthebo', '…', 'imdon']","[('onli', 'give'), ('give', 'num'), ('num', 'becuz'), ('becuz', 'im'), ('im', 'go'), ('go', 'back'), ('back', 'tomorrow'), ('tomorrow', 'tri'), ('tri', 'sumn'), ('sumn', 'differ'), ('differ', 'listen'), ('listen', 'thi'), ('thi', 'busi'), ('busi', 'okhubbi'), ('okhubbi', 'ribey'), ('ribey', 'steak'), ('steak', 'crab'), ('crab', 'meat'), ('meat', 'oh'), ('oh', 'lawd'), ('lawd', 'melt'), ('melt', 'shrimp'), ('shrimp', 'grit'), ('grit', 'scrap'), ('scrap', 'skillet'), ('skillet', 'spoon'), ('spoon', 'flawlesscomitwasthebo'), ('flawlesscomitwasthebo', '…'), ('…', 'imdon')]"
5,Jarrett J-Rock A.,fEZjfg0K8VRawjnhtGcJVQ,5.0,One of the best dinners Ive had in a while Great atmosphere and love that I could see the cooks in action Had champagne and some great appetizers then the best burger ever The Luke Burger was huge and on point Had a Stella on draft with it which made it even better I went with a group of friends and its definitely a spot to go for big groups Made reservations which made it easier to be seated and the server was funny and knowledgable about the menu items,2014-07-16,"Uptown, New Orleans, LA","['one', 'best', 'dinner', 'ive', 'great', 'atmospher', 'love', 'could', 'see', 'cook', 'action', 'champagn', 'great', 'appet', 'best', 'burger', 'ever', 'luke', 'burger', 'wa', 'huge', 'point', 'stella', 'draft', 'made', 'even', 'better', 'went', 'group', 'friend', 'definit', 'spot', 'go', 'big', 'group', 'made', 'reserv', 'made', 'easier', 'seat', 'server', 'wa', 'funni', 'knowledg', 'menu', 'item']","[('one', 'best'), ('best', 'dinner'), ('dinner', 'ive'), ('ive', 'great'), ('great', 'atmospher'), ('atmospher', 'love'), ('love', 'could'), ('could', 'see'), ('see', 'cook'), ('cook', 'action'), ('action', 'champagn'), ('champagn', 'great'), ('great', 'appet'), ('appet', 'best'), ('best', 'burger'), ('burger', 'ever'), ('ever', 'luke'), ('luke', 'burger'), ('burger', 'wa'), ('wa', 'huge'), ('huge', 'point'), ('point', 'stella'), ('stella', 'draft'), ('draft', 'made'), ('made', 'even'), ('even', 'better'), ('better', 'went'), ('went', 'group'), ('group', 'friend'), ('friend', 'definit'), ('definit', 'spot'), ('spot', 'go'), ('go', 'big'), ('big', 'group'), ('group', 'made'), ('made', 'reserv'), ('reserv', 'made'), ('made', 'easier'), ('easier', 'seat'), ('seat', 'server'), ('server', 'wa'), ('wa', 'funni'), ('funni', 'knowledg'), ('knowledg', 'menu'), ('menu', 'item')]"
6,Elise W.,ehYgjoNhA4prEw9EvZ3ixw,5.0,This restaurant is amazing Perfect lunch spot in the CBD The decor and staff are very welcoming I tried the croque Monsieur as suggested by the waiter and it was delicious It was perfectly cooked and perfectly cheesed as to be expected with that kind of sandwich Would definitely recommend to someone looking for a nice lunch,2014-07-17,"New Orleans, LA","['thi', 'restaur', 'amaz', 'perfect', 'lunch', 'spot', 'cbd', 'decor', 'staff', 'veri', 'welcom', 'tri', 'croqu', 'monsieur', 'suggest', 'waiter', 'wa', 'delici', 'wa', 'perfectli', 'cook', 'perfectli', 'chees', 'expect', 'kind', 'sandwich', 'would', 'definit', 'recommend', 'someon', 'look', 'nice', 'lunch']","[('thi', 'restaur'), ('restaur', 'amaz'), ('amaz', 'perfect'), ('perfect', 'lunch'), ('lunch', 'spot'), ('spot', 'cbd'), ('cbd', 'decor'), ('decor', 'staff'), ('staff', 'veri'), ('veri', 'welcom'), ('welcom', 'tri'), ('tri', 'croqu'), ('croqu', 'monsieur'), ('monsieur', 'suggest'), ('suggest', 'waiter'), ('waiter', 'wa'), ('wa', 'delici'), ('delici', 'wa'), ('wa', 'perfectli'), ('perfectli', 'cook'), ('cook', 'perfectli'), ('perfectli', 'chees'), ('chees', 'expect'), ('expect', 'kind'), ('kind', 'sandwich'), ('sandwich', 'would'), ('would', 'definit'), ('definit', 'recommend'), ('recommend', 'someon'), ('someon', 'look'), ('look', 'nice'), ('nice', 'lunch')]"
7,Curtis B.,fq6fmAFNjmJ97AyY7jUppw,5.0,We are at Lukes last night  Wow oysters on the half shell gumbo and buttered drum fish Amazing Also the dirty martini was working Great food and fantastic location This is a must,2014-07-06,"Houston, TX","['luke', 'last', 'night', 'wow', 'oyster', 'half', 'shell', 'gumbo', 'butter', 'drum', 'fish', 'amaz', 'also', 'dirti', 'martini', 'wa', 'work', 'great', 'food', 'fantast', 'locat', 'thi', 'must']","[('luke', 'last'), ('last', 'night'), ('night', 'wow'), ('wow', 'oyster'), ('oyster', 'half'), ('half', 'shell'), ('shell', 'gumbo'), ('gumbo', 'butter'), ('butter', 'drum'), ('drum', 'fish'), ('fish', 'amaz'), ('amaz', 'also'), ('also', 'dirti'), ('dirti', 'martini'), ('martini', 'wa'), ('wa', 'work'), ('work', 'great'), ('great', 'food'), ('food', 'fantast'), ('fantast', 'locat'), ('locat', 'thi'), ('thi', 'must')]"
8,Jennifer M.,Ix-SQ4iGwvuDHS04g11OlQ,5.0,Came here on a Friday night with a bachelorette party We originally had a reservation for 8pm but called around 6 to request a later time and they accommodated 7 of us at 915 easily Upon arrival we were greeted by the manager and immediately served complimentary champagne We sat towards the back of the restaurant and it was very private Our server Richie Rich was amazing He made friendly conversation suggested entrees and drinks and brought warm bread with the waters  I ordered the Poulet Grandemere which was herb roasted chicken summer veggies and whipped potatoes It was delicious and filling I ordered the Streetcar drink which was also very good I was impressed with their service and attentiveness as well as the ambiance and clean restrooms I paid for the bachelorettes and myselfs dinner and it was less than 100 I would recommend eating here when in NOLA,2014-07-01,"Austin, TX","['came', 'friday', 'night', 'bachelorett', 'parti', 'origin', 'reserv', '8pm', 'call', 'around', 'num', 'request', 'later', 'time', 'accommod', 'num', 'us', 'num', 'easili', 'upon', 'arriv', 'greet', 'manag', 'immedi', 'serv', 'complimentari', 'champagn', 'sat', 'toward', 'back', 'restaur', 'wa', 'veri', 'privat', 'server', 'richi', 'rich', 'wa', 'amaz', 'made', 'friendli', 'convers', 'suggest', 'entre', 'drink', 'brought', 'warm', 'bread', 'water', 'order', 'poulet', 'grandemer', 'wa', 'herb', 'roast', 'chicken', 'summer', 'veggi', 'whip', 'potato', 'wa', 'delici', 'fill', 'order', 'streetcar', 'drink', 'wa', 'also', 'veri', 'good', 'wa', 'impress', 'servic', 'attent', 'well', 'ambianc', 'clean', 'restroom', 'paid', 'bachelorett', 'dinner', 'wa', 'less', 'num', 'would', 'recommend', 'eat', 'nola']","[('came', 'friday'), ('friday', 'night'), ('night', 'bachelorett'), ('bachelorett', 'parti'), ('parti', 'origin'), ('origin', 'reserv'), ('reserv', '8pm'), ('8pm', 'call'), ('call', 'around'), ('around', 'num'), ('num', 'request'), ('request', 'later'), ('later', 'time'), ('time', 'accommod'), ('accommod', 'num'), ('num', 'us'), ('us', 'num'), ('num', 'easili'), ('easili', 'upon'), ('upon', 'arriv'), ('arriv', 'greet'), ('greet', 'manag'), ('manag', 'immedi'), ('immedi', 'serv'), ('serv', 'complimentari'), ('complimentari', 'champagn'), ('champagn', 'sat'), ('sat', 'toward'), ('toward', 'back'), ('back', 'restaur'), ('restaur', 'wa'), ('wa', 'veri'), ('veri', 'privat'), ('privat', 'server'), ('server', 'richi'), ('richi', 'rich'), ('rich', 'wa'), ('wa', 'amaz'), ('amaz', 'made'), ('made', 'friendli'), ('friendli', 'convers'), ('convers', 'suggest'), ('suggest', 'entre'), ('entre', 'drink'), ('drink', 'brought'), ('brought', 'warm'), ('warm', 'bread'), ('bread', 'water'), ('water', 'order'), ('order', 'poulet'), ('poulet', 'grandemer'), ('grandemer', 'wa'), ('wa', 'herb'), ('herb', 'roast'), ('roast', 'chicken'), ('chicken', 'summer'), ('summer', 'veggi'), ('veggi', 'whip'), ('whip', 'potato'), ('potato', 'wa'), ('wa', 'delici'), ('delici', 'fill'), ('fill', 'order'), ('order', 'streetcar'), ('streetcar', 'drink'), ('drink', 'wa'), ('wa', 'also'), ('also', 'veri'), ('veri', 'good'), ('good', 'wa'), ('wa', 'impress'), ('impress', 'servic'), ('servic', 'attent'), ('attent', 'well'), ('well', 'ambianc'), ('ambianc', 'clean'), ('clean', 'restroom'), ('restroom', 'paid'), ('paid', 'bachelorett'), ('bachelorett', 'dinner'), ('dinner', 'wa'), ('wa', 'less'), ('less', 'num'), ('num', 'would'), ('would', 'recommend'), ('recommend', 'eat'), ('eat', 'nola')]"
9,Justin L.,zoWS4uOzA9rYMF4fKDUp-g,3.0,I was sorely disappointed with my meal at Luke  The service was absolutely terrible and the food was just okay for the prices they charged  Typically I do not write very negative reviews especially when a restaurant is so well regarded especially on Yelp  My wife was completely dissatisfied with the overall quality of the food and the lack of attention that we received  I am sure if we had a different experience service wise maybe I would have rated this restaurant differently,2014-06-28,"Memphis, TN","['wa', 'sore', 'disappoint', 'meal', 'luke', 'servic', 'wa', 'absolut', 'terribl', 'food', 'wa', 'okay', 'price', 'charg', 'typic', 'write', 'veri', 'neg', 'review', 'especi', 'restaur', 'well', 'regard', 'especi', 'yelp', 'wife', 'wa', 'complet', 'dissatisfi', 'overal', 'qualiti', 'food', 'lack', 'attent', 'receiv', 'sure', 'differ', 'experi', 'servic', 'wise', 'mayb', 'would', 'rate', 'thi', 'restaur', 'differ']","[('wa', 'sore'), ('sore', 'disappoint'), ('disappoint', 'meal'), ('meal', 'luke'), ('luke', 'servic'), ('servic', 'wa'), ('wa', 'absolut'), ('absolut', 'terribl'), ('terribl', 'food'), ('food', 'wa'), ('wa', 'okay'), ('okay', 'price'), ('price', 'charg'), ('charg', 'typic'), ('typic', 'write'), ('write', 'veri'), ('veri', 'neg'), ('neg', 'review'), ('review', 'especi'), ('especi', 'restaur'), ('restaur', 'well'), ('well', 'regard'), ('regard', 'especi'), ('especi', 'yelp'), ('yelp', 'wife'), ('wife', 'wa'), ('wa', 'complet'), ('complet', 'dissatisfi'), ('dissatisfi', 'overal'), ('overal', 'qualiti'), ('qualiti', 'food'), ('food', 'lack'), ('lack', 'attent'), ('attent', 'receiv'), ('receiv', 'sure'), ('sure', 'differ'), ('differ', 'experi'), ('experi', 'servic'), ('servic', 'wise'), ('wise', 'mayb'), ('mayb', 'would'), ('would', 'rate'), ('rate', 'thi'), ('thi', 'restaur'), ('restaur', 'differ')]"
